hco_id,hco_name,class_of_trade,parent_hco_id,idn_id,gpo_id,is_340b,bed_count,address_line1,city,state,zip5,dea_number,hin,npi_org,level
ORG0011,Health System Parent 11,HOSPITAL,IDN001,IDN001,GPO1,False,499.0,111 MAIN ST,SYNTH CITY,PA,90077,AR8171704,H67497267,3788762730,PARENT
ORG0012,Health System Parent 12,HOSPITAL,IDN002,IDN002,GPO2,False,449.0,112 MAIN ST,SYNTH CITY,IL,90084,FF1910954,H73171599,3764136909,PARENT
ORG0013,Health System Parent 13,HOSPITAL,IDN003,IDN003,GPO3,False,588.0,113 MAIN ST,SYNTH CITY,OH,90091,PR4128861,H14506500,4784294348,PARENT
ORG0014,Health System Parent 14,HOSPITAL,IDN004,IDN004,GPO4,False,59.0,114 MAIN ST,SYNTH CITY,MI,90098,FG9775139,H08627801,6906166064,PARENT
ORG0015,Health System Parent 15,HOSPITAL,IDN005,IDN005,GPO0,False,722.0,115 MAIN ST,SYNTH CITY,MN,90105,RA2241878,H10926900,0108698925,PARENT
ORG0016,Health System Parent 16,HOSPITAL,IDN006,IDN006,GPO1,False,265.0,116 MAIN ST,SYNTH CITY,CA,90112,PB0689917,H86884042,1165575600,PARENT
ORG0017,Health System Parent 17,HOSPITAL,IDN007,IDN007,GPO2,False,688.0,117 MAIN ST,SYNTH CITY,OR,90119,GB8701020,H75976500,6002847419,PARENT
ORG0018,Health System Parent 18,HOSPITAL,IDN008,IDN008,GPO3,False,328.0,118 MAIN ST,SYNTH CITY,WA,90126,AP1395457,H26854129,5345562644,PARENT
ORG0019,Health System Parent 19,HOSPITAL,IDN009,IDN009,GPO4,False,755.0,119 MAIN ST,SYNTH CITY,AZ,90133,BB4564941,H19192036,4764694145,PARENT
ORG0020,Health System Parent 20,HOSPITAL,IDN000,IDN000,GPO0,False,680.0,120 MAIN ST,SYNTH CITY,CO,90140,BR5639024,H44120535,5756566324,PARENT
ORG0021,Health System Parent 21,HOSPITAL,IDN001,IDN001,GPO1,False,640.0,121 MAIN ST,SYNTH CITY,TX,90147,FG1456539,H58758198,5752723580,PARENT
ORG0022,Health System Parent 22,HOSPITAL,IDN002,IDN002,GPO2,False,337.0,122 MAIN ST,SYNTH CITY,FL,90154,GA1008880,H02534173,0790487843,PARENT
ORG0023,Health System Parent 23,HOSPITAL,IDN003,IDN003,GPO3,False,329.0,123 MAIN ST,SYNTH CITY,GA,90161,MB2661535,H90947437,6177396309,PARENT
ORG0024,Health System Parent 24,HOSPITAL,IDN004,IDN004,GPO4,False,556.0,124 MAIN ST,SYNTH CITY,NY,90168,BP5417148,H99952889,6154833084,PARENT
ORG0025,Health System Parent 25,HOSPITAL,IDN005,IDN005,GPO0,False,616.0,125 MAIN ST,SYNTH CITY,NJ,90175,AG4491312,H99062121,4957400227,PARENT
ORG0026,Health System Parent 26,HOSPITAL,IDN006,IDN006,GPO1,False,680.0,126 MAIN ST,SYNTH CITY,MA,90182,PP6564677,H60737583,9834576834,PARENT
ORG0027,Health System Parent 27,HOSPITAL,IDN007,IDN007,GPO2,False,428.0,127 MAIN ST,SYNTH CITY,PA,90189,GR3518335,H48551039,9663103312,PARENT
ORG0028,Health System Parent 28,HOSPITAL,IDN008,IDN008,GPO3,False,244.0,128 MAIN ST,SYNTH CITY,IL,90196,AM9644315,H50421756,7986849769,PARENT
ORG0029,Health System Parent 29,HOSPITAL,IDN009,IDN009,GPO4,False,727.0,129 MAIN ST,SYNTH CITY,OH,90203,GP2967480,H15784659,6491912872,PARENT
ORG0030,Health System Parent 30,HOSPITAL,IDN000,IDN000,GPO0,False,777.0,130 MAIN ST,SYNTH CITY,MI,90210,PM3012057,H94898439,2407602558,PARENT
ORG0031,Health System Parent 31,HOSPITAL,IDN001,IDN001,GPO1,False,651.0,131 MAIN ST,SYNTH CITY,MN,90217,BR4820039,H03196776,7087738309,PARENT
ORG0032,Health System Parent 32,HOSPITAL,IDN002,IDN002,GPO2,False,730.0,132 MAIN ST,SYNTH CITY,CA,90224,BA6284095,H26507468,6622485376,PARENT
ORG0033,Health System Parent 33,HOSPITAL,IDN003,IDN003,GPO3,False,690.0,133 MAIN ST,SYNTH CITY,OR,90231,RF7543125,H88160634,7485962741,PARENT
ORG0034,Health System Parent 34,HOSPITAL,IDN004,IDN004,GPO4,False,450.0,134 MAIN ST,SYNTH CITY,WA,90238,AA5198775,H03492431,1300325036,PARENT
ORG0035,Health System Parent 35,HOSPITAL,IDN005,IDN005,GPO0,False,389.0,135 MAIN ST,SYNTH CITY,AZ,90245,RM8344899,H75592383,2538935976,PARENT
ORG0036,Health System Parent 36,HOSPITAL,IDN006,IDN006,GPO1,False,211.0,136 MAIN ST,SYNTH CITY,CO,90252,MM6028223,H11380205,2757648490,PARENT
ORG0037,Health System Parent 37,HOSPITAL,IDN007,IDN007,GPO2,False,796.0,137 MAIN ST,SYNTH CITY,TX,90259,MM2869274,H11531463,9759410993,PARENT
ORG0038,Health System Parent 38,HOSPITAL,IDN008,IDN008,GPO3,False,604.0,138 MAIN ST,SYNTH CITY,FL,90266,AF0025094,H25730081,6370864293,PARENT
ORG0039,Health System Parent 39,HOSPITAL,IDN009,IDN009,GPO4,False,276.0,139 MAIN ST,SYNTH CITY,GA,90273,GF2410214,H81015240,3445748528,PARENT
ORG0040,Health System Parent 40,HOSPITAL,IDN000,IDN000,GPO0,False,221.0,140 MAIN ST,SYNTH CITY,NY,90280,FM2948632,H73294044,8711603109,PARENT
ORG0041,Health System Parent 41,HOSPITAL,IDN001,IDN001,GPO1,False,739.0,141 MAIN ST,SYNTH CITY,NJ,90287,AA9180117,H64205256,8402856412,PARENT
ORG0042,Health System Parent 42,HOSPITAL,IDN002,IDN002,GPO2,False,722.0,142 MAIN ST,SYNTH CITY,MA,90294,PR8222954,H96990378,1357162258,PARENT
ORG0043,Health System Parent 43,HOSPITAL,IDN003,IDN003,GPO3,False,360.0,143 MAIN ST,SYNTH CITY,PA,90301,MF8080733,H07167873,7831815213,PARENT
ORG0044,Health System Parent 44,HOSPITAL,IDN004,IDN004,GPO4,False,632.0,144 MAIN ST,SYNTH CITY,IL,90308,BM6017519,H20905955,3158084517,PARENT
ORG0045,Health System Parent 45,HOSPITAL,IDN005,IDN005,GPO0,False,516.0,145 MAIN ST,SYNTH CITY,OH,90315,BB7045123,H69810051,2888266154,PARENT
ORG0046,Health System Parent 46,HOSPITAL,IDN006,IDN006,GPO1,False,443.0,146 MAIN ST,SYNTH CITY,MI,90322,FP6577527,H79149590,0735449072,PARENT
ORG0047,Health System Parent 47,HOSPITAL,IDN007,IDN007,GPO2,False,717.0,147 MAIN ST,SYNTH CITY,MN,90329,MF1641392,H16198992,2348768633,PARENT
ORG0048,Health System Parent 48,HOSPITAL,IDN008,IDN008,GPO3,False,359.0,148 MAIN ST,SYNTH CITY,CA,90336,GA7675795,H41796887,5002474026,PARENT
ORG0049,Health System Parent 49,HOSPITAL,IDN009,IDN009,GPO4,False,784.0,149 MAIN ST,SYNTH CITY,OR,90343,RF8798636,H33655340,6595401335,PARENT
IDN000,IDN 0,HOSPITAL,,IDN000,GPO0,False,,0 IDN WAY,SYNTH CITY,CA,90000,,,3371313602,IDN
IDN001,IDN 1,HOSPITAL,,IDN001,GPO1,False,,1 IDN WAY,SYNTH CITY,OR,90007,,,3097210470,IDN
IDN002,IDN 2,HOSPITAL,,IDN002,GPO2,False,,2 IDN WAY,SYNTH CITY,WA,90014,,,5832429141,IDN
IDN003,IDN 3,HOSPITAL,,IDN003,GPO3,False,,3 IDN WAY,SYNTH CITY,AZ,90021,,,5044210040,IDN
IDN004,IDN 4,HOSPITAL,,IDN004,GPO4,False,,4 IDN WAY,SYNTH CITY,CO,90028,,,0926648128,IDN
IDN005,IDN 5,HOSPITAL,,IDN005,GPO0,False,,5 IDN WAY,SYNTH CITY,TX,90035,,,2123738793,IDN
IDN006,IDN 6,HOSPITAL,,IDN006,GPO1,False,,6 IDN WAY,SYNTH CITY,FL,90042,,,1969395049,IDN
IDN007,IDN 7,HOSPITAL,,IDN007,GPO2,False,,7 IDN WAY,SYNTH CITY,GA,90049,,,1932540887,IDN
IDN008,IDN 8,HOSPITAL,,IDN008,GPO3,False,,8 IDN WAY,SYNTH CITY,NY,90056,,,7645510240,IDN
IDN009,IDN 9,HOSPITAL,,IDN009,GPO4,False,,9 IDN WAY,SYNTH CITY,NJ,90063,,,1183557721,IDN
SITE00000,Retail Chain Site 0,RETAIL_CHAIN,ORG0000,IDN000,GPO0,False,,200 PRACTICE AVE,SYNTH CITY,CA,90000,PF8417070,H26941287,1321861647,SITE
SITE00001,Independent Site 1,INDEPENDENT,ORG0001,IDN001,GPO1,False,,201 PRACTICE AVE,SYNTH CITY,OR,90007,AG1287185,H87355723,2210908077,SITE
SITE00002,Hospital Site 2,HOSPITAL,ORG0002,IDN002,GPO2,False,65.0,202 PRACTICE AVE,SYNTH CITY,WA,90014,GB4453584,H31311904,8911359213,SITE
SITE00003,Clinic Site 3,CLINIC,ORG0003,IDN003,GPO3,False,,203 PRACTICE AVE,SYNTH CITY,AZ,90021,BR0311903,H96049455,6189188736,SITE
SITE00004,Ltc Site 4,LTC,ORG0004,IDN004,GPO4,False,,204 PRACTICE AVE,SYNTH CITY,CO,90028,GP1896350,H93076607,6782295425,SITE
SITE00005,Mail Site 5,MAIL,ORG0005,IDN005,GPO0,False,,205 PRACTICE AVE,SYNTH CITY,TX,90035,MP0592280,H34714176,4319634778,SITE
SITE00006,Specialty Site 6,SPECIALTY,ORG0006,IDN006,GPO1,False,,206 PRACTICE AVE,SYNTH CITY,FL,90042,GF6650469,H53510698,5094287724,SITE
SITE00007,Covered Entity 340B Site 7,COVERED_ENTITY_340B,ORG0007,IDN007,GPO2,True,,207 PRACTICE AVE,SYNTH CITY,GA,90049,RG5761339,H73773485,1755793415,SITE
SITE00008,Retail Chain Site 8,RETAIL_CHAIN,ORG0008,IDN008,GPO3,False,,208 PRACTICE AVE,SYNTH CITY,NY,90056,MF3644421,H80361676,3083811794,SITE
SITE00009,Independent Site 9,INDEPENDENT,ORG0009,IDN009,GPO4,False,,209 PRACTICE AVE,SYNTH CITY,NJ,90063,RP2961182,H71222699,7295577952,SITE
SITE00010,Hospital Site 10,HOSPITAL,ORG0010,IDN000,GPO0,False,122.0,210 PRACTICE AVE,SYNTH CITY,MA,90070,PB3603795,H34650547,8963419881,SITE
SITE00011,Clinic Site 11,CLINIC,ORG0011,IDN001,GPO1,False,,211 PRACTICE AVE,SYNTH CITY,PA,90077,FF8574468,H38249993,8990797275,SITE
SITE00012,Ltc Site 12,LTC,ORG0012,IDN002,GPO2,False,,212 PRACTICE AVE,SYNTH CITY,IL,90084,AG6462666,H23245342,2682851300,SITE
SITE00013,Mail Site 13,MAIL,ORG0013,IDN003,GPO3,False,,213 PRACTICE AVE,SYNTH CITY,OH,90091,AF4718216,H76113492,1910446891,SITE
SITE00014,Specialty Site 14,SPECIALTY,ORG0014,IDN004,GPO4,False,,214 PRACTICE AVE,SYNTH CITY,MI,90098,FR6091572,H24826417,8511455254,SITE
SITE00015,Covered Entity 340B Site 15,COVERED_ENTITY_340B,ORG0015,IDN005,GPO0,True,,215 PRACTICE AVE,SYNTH CITY,MN,90105,FM7609090,H51067193,3241420363,SITE
SITE00016,Retail Chain Site 16,RETAIL_CHAIN,ORG0016,IDN006,GPO1,False,,216 PRACTICE AVE,SYNTH CITY,CA,90112,PF3768989,H43327781,4282158904,SITE
SITE00017,Independent Site 17,INDEPENDENT,ORG0017,IDN007,GPO2,False,,217 PRACTICE AVE,SYNTH CITY,OR,90119,FB3520502,H00487003,6783101085,SITE
SITE00018,Hospital Site 18,HOSPITAL,ORG0018,IDN008,GPO3,False,53.0,218 PRACTICE AVE,SYNTH CITY,WA,90126,PG5480043,H57523725,5774334267,SITE
SITE00019,Clinic Site 19,CLINIC,ORG0019,IDN009,GPO4,False,,219 PRACTICE AVE,SYNTH CITY,AZ,90133,BM7917031,H11080369,8196149313,SITE
SITE00020,Ltc Site 20,LTC,ORG0020,IDN000,GPO0,False,,220 PRACTICE AVE,SYNTH CITY,CO,90140,RR9984162,H46922705,7538374050,SITE
SITE00021,Mail Site 21,MAIL,ORG0021,IDN001,GPO1,False,,221 PRACTICE AVE,SYNTH CITY,TX,90147,AR6346224,H27183513,7215134561,SITE
SITE00022,Specialty Site 22,SPECIALTY,ORG0022,IDN002,GPO2,False,,222 PRACTICE AVE,SYNTH CITY,FL,90154,MP0300258,H76718804,8489403245,SITE
SITE00023,Covered Entity 340B Site 23,COVERED_ENTITY_340B,ORG0023,IDN003,GPO3,True,,223 PRACTICE AVE,SYNTH CITY,GA,90161,MG1360280,H42145101,6813332056,SITE
SITE00024,Retail Chain Site 24,RETAIL_CHAIN,ORG0024,IDN004,GPO4,False,,224 PRACTICE AVE,SYNTH CITY,NY,90168,FF2964288,H09607101,4641189715,SITE
SITE00025,Independent Site 25,INDEPENDENT,ORG0025,IDN005,GPO0,False,,225 PRACTICE AVE,SYNTH CITY,NJ,90175,PM5194024,H03490598,9189345421,SITE
SITE00026,Hospital Site 26,HOSPITAL,ORG0026,IDN006,GPO1,False,194.0,226 PRACTICE AVE,SYNTH CITY,MA,90182,RF8375416,H32191780,5536444867,SITE
SITE00027,Clinic Site 27,CLINIC,ORG0027,IDN007,GPO2,False,,227 PRACTICE AVE,SYNTH CITY,PA,90189,FR8973732,H49534263,5339303500,SITE
SITE00028,Ltc Site 28,LTC,ORG0028,IDN008,GPO3,False,,228 PRACTICE AVE,SYNTH CITY,IL,90196,FB5793827,H57752589,9151690697,SITE
SITE00029,Mail Site 29,MAIL,ORG0029,IDN009,GPO4,False,,229 PRACTICE AVE,SYNTH CITY,OH,90203,PF1995906,H09695003,7182424409,SITE
SITE00030,Specialty Site 30,SPECIALTY,ORG0030,IDN000,GPO0,False,,230 PRACTICE AVE,SYNTH CITY,MI,90210,GP9388938,H50261471,4252909781,SITE
SITE00031,Covered Entity 340B Site 31,COVERED_ENTITY_340B,ORG0031,IDN001,GPO1,True,,231 PRACTICE AVE,SYNTH CITY,MN,90217,PB9598531,H13854256,9769493146,SITE
SITE00032,Retail Chain Site 32,RETAIL_CHAIN,ORG0032,IDN002,GPO2,False,,232 PRACTICE AVE,SYNTH CITY,CA,90224,AA8728027,H37800955,4465166138,SITE
SITE00033,Independent Site 33,INDEPENDENT,ORG0033,IDN003,GPO3,False,,233 PRACTICE AVE,SYNTH CITY,OR,90231,PM1054959,H24151431,0591428491,SITE
SITE00034,Hospital Site 34,HOSPITAL,ORG0034,IDN004,GPO4,False,49.0,234 PRACTICE AVE,SYNTH CITY,WA,90238,AM6988634,H14302539,4960275350,SITE
SITE00035,Clinic Site 35,CLINIC,ORG0035,IDN005,GPO0,False,,235 PRACTICE AVE,SYNTH CITY,AZ,90245,RF0397891,H20089175,0985737499,SITE
SITE00036,Ltc Site 36,LTC,ORG0036,IDN006,GPO1,False,,236 PRACTICE AVE,SYNTH CITY,CO,90252,AB9237152,H19106817,5819683967,SITE
SITE00037,Mail Site 37,MAIL,ORG0037,IDN007,GPO2,False,,237 PRACTICE AVE,SYNTH CITY,TX,90259,AR7353598,H29477444,8323131077,SITE
SITE00038,Specialty Site 38,SPECIALTY,ORG0038,IDN008,GPO3,False,,238 PRACTICE AVE,SYNTH CITY,FL,90266,AG7741986,H00318229,8235698908,SITE
SITE00039,Covered Entity 340B Site 39,COVERED_ENTITY_340B,ORG0039,IDN009,GPO4,True,,239 PRACTICE AVE,SYNTH CITY,GA,90273,BG0319011,H15392566,7258866863,SITE
SITE00040,Retail Chain Site 40,RETAIL_CHAIN,ORG0040,IDN000,GPO0,False,,240 PRACTICE AVE,SYNTH CITY,NY,90280,RA3104244,H69833715,4163161613,SITE
SITE00041,Independent Site 41,INDEPENDENT,ORG0041,IDN001,GPO1,False,,241 PRACTICE AVE,SYNTH CITY,NJ,90287,GP2779179,H71815455,0594290450,SITE
SITE00042,Hospital Site 42,HOSPITAL,ORG0042,IDN002,GPO2,False,95.0,242 PRACTICE AVE,SYNTH CITY,MA,90294,RF9075227,H66059044,8247088767,SITE
SITE00043,Clinic Site 43,CLINIC,ORG0043,IDN003,GPO3,False,,243 PRACTICE AVE,SYNTH CITY,PA,90301,PP9446187,H63346769,9735468354,SITE
SITE00044,Ltc Site 44,LTC,ORG0044,IDN004,GPO4,False,,244 PRACTICE AVE,SYNTH CITY,IL,90308,AP4452573,H13136172,8725109812,SITE
SITE00045,Mail Site 45,MAIL,ORG0045,IDN005,GPO0,False,,245 PRACTICE AVE,SYNTH CITY,OH,90315,BB3235187,H71781737,4813223318,SITE
SITE00046,Specialty Site 46,SPECIALTY,ORG0046,IDN006,GPO1,False,,246 PRACTICE AVE,SYNTH CITY,MI,90322,MG8710442,H75718244,8223311241,SITE
SITE00047,Covered Entity 340B Site 47,COVERED_ENTITY_340B,ORG0047,IDN007,GPO2,True,,247 PRACTICE AVE,SYNTH CITY,MN,90329,FF7297131,H23104738,3925709347,SITE
SITE00048,Retail Chain Site 48,RETAIL_CHAIN,ORG0048,IDN008,GPO3,False,,248 PRACTICE AVE,SYNTH CITY,CA,90336,MM0869464,H88957347,0705444442,SITE
SITE00049,Independent Site 49,INDEPENDENT,ORG0049,IDN009,GPO4,False,,249 PRACTICE AVE,SYNTH CITY,OR,90343,GG7568917,H21708796,8181314724,SITE
SITE00050,Hospital Site 50,HOSPITAL,ORG0000,IDN000,GPO0,False,164.0,250 PRACTICE AVE,SYNTH CITY,WA,90350,MM9439562,H21217069,7408066174,SITE
SITE00051,Clinic Site 51,CLINIC,ORG0001,IDN001,GPO1,False,,251 PRACTICE AVE,SYNTH CITY,AZ,90357,BB8929971,H26984292,3952049468,SITE
SITE00052,Ltc Site 52,LTC,ORG0002,IDN002,GPO2,False,,252 PRACTICE AVE,SYNTH CITY,CO,90364,BP7675378,H82605539,8022857873,SITE
SITE00053,Mail Site 53,MAIL,ORG0003,IDN003,GPO3,False,,253 PRACTICE AVE,SYNTH CITY,TX,90371,AA3371321,H11544478,5676191468,SITE
SITE00054,Specialty Site 54,SPECIALTY,ORG0004,IDN004,GPO4,False,,254 PRACTICE AVE,SYNTH CITY,FL,90378,FB9029707,H90441211,4422172955,SITE
SITE00055,Covered Entity 340B Site 55,COVERED_ENTITY_340B,ORG0005,IDN005,GPO0,True,,255 PRACTICE AVE,SYNTH CITY,GA,90385,PM2621221,H09549248,6320017646,SITE
SITE00056,Retail Chain Site 56,RETAIL_CHAIN,ORG0006,IDN006,GPO1,False,,256 PRACTICE AVE,SYNTH CITY,NY,90392,PB2396828,H02508853,0657611717,SITE
SITE00057,Independent Site 57,INDEPENDENT,ORG0007,IDN007,GPO2,False,,257 PRACTICE AVE,SYNTH CITY,NJ,90399,RA7940815,H97081762,4192356556,SITE
SITE00058,Hospital Site 58,HOSPITAL,ORG0008,IDN008,GPO3,False,116.0,258 PRACTICE AVE,SYNTH CITY,MA,90406,RF8799727,H72625713,7490789196,SITE
SITE00059,Clinic Site 59,CLINIC,ORG0009,IDN009,GPO4,False,,259 PRACTICE AVE,SYNTH CITY,PA,90413,FF3664092,H05468025,7636948730,SITE
SITE00060,Ltc Site 60,LTC,ORG0010,IDN000,GPO0,False,,260 PRACTICE AVE,SYNTH CITY,IL,90420,BP2326269,H89042973,5644043882,SITE
SITE00061,Mail Site 61,MAIL,ORG0011,IDN001,GPO1,False,,261 PRACTICE AVE,SYNTH CITY,OH,90427,PA8349803,H75258277,8225547727,SITE
SITE00062,Specialty Site 62,SPECIALTY,ORG0012,IDN002,GPO2,False,,262 PRACTICE AVE,SYNTH CITY,MI,90434,PB4039471,H63795141,4063208886,SITE
SITE00063,Covered Entity 340B Site 63,COVERED_ENTITY_340B,ORG0013,IDN003,GPO3,True,,263 PRACTICE AVE,SYNTH CITY,MN,90441,AF9511291,H96983812,2101130096,SITE
SITE00064,Retail Chain Site 64,RETAIL_CHAIN,ORG0014,IDN004,GPO4,False,,264 PRACTICE AVE,SYNTH CITY,CA,90448,AA0158750,H70648364,5974473147,SITE
SITE00065,Independent Site 65,INDEPENDENT,ORG0015,IDN005,GPO0,False,,265 PRACTICE AVE,SYNTH CITY,OR,90455,AB4772417,H27863966,8808723729,SITE
SITE00066,Hospital Site 66,HOSPITAL,ORG0016,IDN006,GPO1,False,90.0,266 PRACTICE AVE,SYNTH CITY,WA,90462,MM9129522,H35264616,9136665665,SITE
SITE00067,Clinic Site 67,CLINIC,ORG0017,IDN007,GPO2,False,,267 PRACTICE AVE,SYNTH CITY,AZ,90469,AP4044092,H34877288,4507945408,SITE
SITE00068,Ltc Site 68,LTC,ORG0018,IDN008,GPO3,False,,268 PRACTICE AVE,SYNTH CITY,CO,90476,MP9949566,H97104564,5934549952,SITE
SITE00069,Mail Site 69,MAIL,ORG0019,IDN009,GPO4,False,,269 PRACTICE AVE,SYNTH CITY,TX,90483,GM1421050,H64375770,2591199148,SITE
SITE00070,Specialty Site 70,SPECIALTY,ORG0020,IDN000,GPO0,False,,270 PRACTICE AVE,SYNTH CITY,FL,90490,MB3363427,H12299517,4839827233,SITE
SITE00071,Covered Entity 340B Site 71,COVERED_ENTITY_340B,ORG0021,IDN001,GPO1,True,,271 PRACTICE AVE,SYNTH CITY,GA,90497,BM2657909,H15367849,3235682390,SITE
SITE00072,Retail Chain Site 72,RETAIL_CHAIN,ORG0022,IDN002,GPO2,False,,272 PRACTICE AVE,SYNTH CITY,NY,90504,GB9499957,H92036505,1556446783,SITE
SITE00073,Independent Site 73,INDEPENDENT,ORG0023,IDN003,GPO3,False,,273 PRACTICE AVE,SYNTH CITY,NJ,90511,FF3514158,H94021795,1093112682,SITE
SITE00074,Hospital Site 74,HOSPITAL,ORG0024,IDN004,GPO4,False,55.0,274 PRACTICE AVE,SYNTH CITY,MA,90518,MA0095800,H81156246,4304868100,SITE
SITE00075,Clinic Site 75,CLINIC,ORG0025,IDN005,GPO0,False,,275 PRACTICE AVE,SYNTH CITY,PA,90525,GB5935618,H28617159,9845394730,SITE
SITE00076,Ltc Site 76,LTC,ORG0026,IDN006,GPO1,False,,276 PRACTICE AVE,SYNTH CITY,IL,90532,PB7013473,H03456266,7582701844,SITE
SITE00077,Mail Site 77,MAIL,ORG0027,IDN007,GPO2,False,,277 PRACTICE AVE,SYNTH CITY,OH,90539,MM6210825,H41401185,9426950397,SITE
SITE00078,Specialty Site 78,SPECIALTY,ORG0028,IDN008,GPO3,False,,278 PRACTICE AVE,SYNTH CITY,MI,90546,GR5087791,H92915700,8069644655,SITE
SITE00079,Covered Entity 340B Site 79,COVERED_ENTITY_340B,ORG0029,IDN009,GPO4,True,,279 PRACTICE AVE,SYNTH CITY,MN,90553,GB6770771,H85475539,9170391327,SITE
SITE00080,Retail Chain Site 80,RETAIL_CHAIN,ORG0030,IDN000,GPO0,False,,280 PRACTICE AVE,SYNTH CITY,CA,90560,PG5957029,H86318725,6491206697,SITE
SITE00081,Independent Site 81,INDEPENDENT,ORG0031,IDN001,GPO1,False,,281 PRACTICE AVE,SYNTH CITY,OR,90567,GB4066833,H04477125,3087538047,SITE
SITE00082,Hospital Site 82,HOSPITAL,ORG0032,IDN002,GPO2,False,160.0,282 PRACTICE AVE,SYNTH CITY,WA,90574,RB6113864,H21211610,5241246458,SITE
SITE00083,Clinic Site 83,CLINIC,ORG0033,IDN003,GPO3,False,,283 PRACTICE AVE,SYNTH CITY,AZ,90581,GB2406633,H36714042,3433780384,SITE
SITE00084,Ltc Site 84,LTC,ORG0034,IDN004,GPO4,False,,284 PRACTICE AVE,SYNTH CITY,CO,90588,GB5106573,H84710789,3096279278,SITE
SITE00085,Mail Site 85,MAIL,ORG0035,IDN005,GPO0,False,,285 PRACTICE AVE,SYNTH CITY,TX,90595,PG6299970,H34955173,0910041850,SITE
SITE00086,Specialty Site 86,SPECIALTY,ORG0036,IDN006,GPO1,False,,286 PRACTICE AVE,SYNTH CITY,FL,90602,FA4192401,H20799275,0054097593,SITE
SITE00087,Covered Entity 340B Site 87,COVERED_ENTITY_340B,ORG0037,IDN007,GPO2,True,,287 PRACTICE AVE,SYNTH CITY,GA,90609,RR2857814,H12488335,9921731045,SITE
SITE00088,Retail Chain Site 88,RETAIL_CHAIN,ORG0038,IDN008,GPO3,False,,288 PRACTICE AVE,SYNTH CITY,NY,90616,FG2764156,H32534337,4463180529,SITE
SITE00089,Independent Site 89,INDEPENDENT,ORG0039,IDN009,GPO4,False,,289 PRACTICE AVE,SYNTH CITY,NJ,90623,BA9437054,H51926731,2899261749,SITE
SITE00090,Hospital Site 90,HOSPITAL,ORG0040,IDN000,GPO0,False,142.0,290 PRACTICE AVE,SYNTH CITY,MA,90630,MR4351158,H57146300,9622091723,SITE
SITE00091,Clinic Site 91,CLINIC,ORG0041,IDN001,GPO1,False,,291 PRACTICE AVE,SYNTH CITY,PA,90637,FB8032219,H34393333,0602227593,SITE
SITE00092,Ltc Site 92,LTC,ORG0042,IDN002,GPO2,False,,292 PRACTICE AVE,SYNTH CITY,IL,90644,FR0575930,H70778481,4177873096,SITE
SITE00093,Mail Site 93,MAIL,ORG0043,IDN003,GPO3,False,,293 PRACTICE AVE,SYNTH CITY,OH,90651,GA9947002,H61067778,6583072940,SITE
SITE00094,Specialty Site 94,SPECIALTY,ORG0044,IDN004,GPO4,False,,294 PRACTICE AVE,SYNTH CITY,MI,90658,PA6442938,H40812889,4737504421,SITE
SITE00095,Covered Entity 340B Site 95,COVERED_ENTITY_340B,ORG0045,IDN005,GPO0,True,,295 PRACTICE AVE,SYNTH CITY,MN,90665,FG0173655,H44892690,7495811953,SITE
