alignment_version_id,overlay_id,alignment_basis,basis_key,territory_id,weight,valid_from,valid_to,change_reason
ALN_V2,PRIMARY,ACCOUNT,SITE00235,TERR0007,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00240,TERR0008,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00240,TERR0008,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00245,TERR0009,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00245,TERR0009,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00250,TERR0010,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00250,TERR0010,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00255,TERR0011,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00255,TERR0011,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00260,TERR0012,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00260,TERR0012,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00265,TERR0013,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00265,TERR0013,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00270,TERR0014,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00270,TERR0014,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00275,TERR0015,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00275,TERR0015,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00280,TERR0016,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00280,TERR0016,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00285,TERR0017,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00285,TERR0017,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00290,TERR0018,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00290,TERR0018,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00295,TERR0019,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00295,TERR0019,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00300,TERR0020,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00300,TERR0020,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00305,TERR0021,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00305,TERR0021,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00310,TERR0022,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00310,TERR0022,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00315,TERR0023,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00315,TERR0023,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00320,TERR0024,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00320,TERR0024,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00325,TERR0025,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00325,TERR0025,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00330,TERR0026,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00330,TERR0026,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00335,TERR0027,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00335,TERR0027,1.0,2024-03-01,9999-12-31,REALIGNMENT
