prescriber_id,entity_id_truth,period_end_date,product_id
RXD000001,HCP000001,2024-03-15,PRD005
RXD000001,HCP000001,2024-03-15,PRD007
RXD000001,HCP000001,2024-03-29,PRD001
RXD000001,HCP000001,2024-03-29,PRD002
UNK669518,HCP000001,2024-03-29,PRD003
RXD000001,HCP000001,2024-03-29,PRD004
RXD000001,HCP000001,2024-03-29,PRD005
RXD000001,HCP000001,2024-03-29,PRD007
RXD000002,HCP000002,2024-01-05,PRD002
RXD000002,HCP000002,2024-01-05,PRD003
RXD000002,HCP000002,2024-01-05,PRD004
RXD000002,HCP000002,2024-01-05,PRD005
RXD000002,HCP000002,2024-01-19,PRD002
RXD000002,HCP000002,2024-01-19,PRD003
RXD000002,HCP000002,2024-01-19,PRD004
UNK564225,HCP000002,2024-01-19,PRD005
RXD000002,HCP000002,2024-02-02,PRD002
RXD000002,HCP000002,2024-02-02,PRD003
RXD000002,HCP000002,2024-02-02,PRD004
RXD000002,HCP000002,2024-02-02,PRD005
RXD000002,HCP000002,2024-02-02,PRD007
RXD000002,HCP000002,2024-02-16,PRD002
RXD000002,HCP000002,2024-02-16,PRD003
UNK003815,HCP000002,2024-02-16,PRD004
RXD000002,HCP000002,2024-02-16,PRD005
RXD000002,HCP000002,2024-02-16,PRD007
RXD000002,HCP000002,2024-03-01,PRD002
RXD000002,HCP000002,2024-03-01,PRD003
RXD000002,HCP000002,2024-03-01,PRD004
RXD000002,HCP000002,2024-03-01,PRD005
RXD000002,HCP000002,2024-03-01,PRD007
RXD000002,HCP000002,2024-03-15,PRD002
RXD000002,HCP000002,2024-03-15,PRD003
RXD000002,HCP000002,2024-03-15,PRD004
UNK819271,HCP000002,2024-03-15,PRD005
RXD000002,HCP000002,2024-03-15,PRD007
RXD000002,HCP000002,2024-03-29,PRD002
RXD000002,HCP000002,2024-03-29,PRD003
RXD000002,HCP000002,2024-03-29,PRD004
RXD000002,HCP000002,2024-03-29,PRD005
RXD000002,HCP000002,2024-03-29,PRD007
RXD000003,HCP000003,2024-01-05,PRD002
RXD000003,HCP000003,2024-01-05,PRD003
RXD000003,HCP000003,2024-01-05,PRD004
RXD000003,HCP000003,2024-01-05,PRD005
RXD000003,HCP000003,2024-01-05,PRD007
RXD000003,HCP000003,2024-01-19,PRD002
RXD000003,HCP000003,2024-01-19,PRD003
RXD000003,HCP000003,2024-01-19,PRD004
RXD000003,HCP000003,2024-01-19,PRD005
RXD000003,HCP000003,2024-01-19,PRD007
RXD000003,HCP000003,2024-02-02,PRD002
RXD000003,HCP000003,2024-02-02,PRD003
RXD000003,HCP000003,2024-02-02,PRD004
RXD000003,HCP000003,2024-02-02,PRD005
RXD000003,HCP000003,2024-02-02,PRD007
RXD000003,HCP000003,2024-02-16,PRD002
RXD000003,HCP000003,2024-02-16,PRD003
RXD000003,HCP000003,2024-02-16,PRD004
RXD000003,HCP000003,2024-02-16,PRD005
RXD000003,HCP000003,2024-02-16,PRD007
RXD000003,HCP000003,2024-03-01,PRD002
RXD000003,HCP000003,2024-03-01,PRD003
RXD000003,HCP000003,2024-03-01,PRD004
RXD000003,HCP000003,2024-03-01,PRD005
RXD000003,HCP000003,2024-03-01,PRD007
RXD000003,HCP000003,2024-03-15,PRD002
RXD000003,HCP000003,2024-03-15,PRD003
RXD000003,HCP000003,2024-03-15,PRD004
RXD000003,HCP000003,2024-03-15,PRD005
RXD000003,HCP000003,2024-03-15,PRD007
RXD000003,HCP000003,2024-03-29,PRD002
RXD000003,HCP000003,2024-03-29,PRD003
RXD000003,HCP000003,2024-03-29,PRD004
RXD000003,HCP000003,2024-03-29,PRD005
RXD000003,HCP000003,2024-03-29,PRD007
RXD000004,HCP000004,2024-01-05,PRD002
UNK149226,HCP000004,2024-01-05,PRD004
UNK473713,HCP000004,2024-01-19,PRD001
RXD000004,HCP000004,2024-01-19,PRD002
RXD000004,HCP000004,2024-01-19,PRD004
RXD000004,HCP000004,2024-02-02,PRD001
RXD000004,HCP000004,2024-02-02,PRD002
RXD000004,HCP000004,2024-02-02,PRD004
RXD000004,HCP000004,2024-02-02,PRD007
RXD000004,HCP000004,2024-02-16,PRD001
RXD000004,HCP000004,2024-02-16,PRD002
RXD000004,HCP000004,2024-02-16,PRD004
RXD000004,HCP000004,2024-02-16,PRD007
RXD000004,HCP000004,2024-03-01,PRD001
UNK581418,HCP000004,2024-03-01,PRD002
RXD000004,HCP000004,2024-03-01,PRD004
RXD000004,HCP000004,2024-03-01,PRD007
RXD000004,HCP000004,2024-03-15,PRD001
RXD000004,HCP000004,2024-03-15,PRD002
RXD000004,HCP000004,2024-03-15,PRD004
RXD000004,HCP000004,2024-03-15,PRD007
RXD000004,HCP000004,2024-03-29,PRD001
RXD000004,HCP000004,2024-03-29,PRD002
RXD000004,HCP000004,2024-03-29,PRD004
RXD000004,HCP000004,2024-03-29,PRD007
RXD000011,HCP000011,2024-01-05,PRD001
RXD000011,HCP000011,2024-01-05,PRD002
RXD000011,HCP000011,2024-01-05,PRD003
RXD000011,HCP000011,2024-01-05,PRD004
RXD000011,HCP000011,2024-01-05,PRD005
RXD000011,HCP000011,2024-01-05,PRD007
RXD000011,HCP000011,2024-01-19,PRD001
RXD000011,HCP000011,2024-01-19,PRD002
RXD000011,HCP000011,2024-01-19,PRD003
RXD000011,HCP000011,2024-01-19,PRD004
UNK837462,HCP000011,2024-01-19,PRD005
RXD000011,HCP000011,2024-01-19,PRD007
RXD000011,HCP000011,2024-02-02,PRD001
RXD000011,HCP000011,2024-02-02,PRD002
RXD000011,HCP000011,2024-02-02,PRD003
RXD000011,HCP000011,2024-02-02,PRD004
RXD000011,HCP000011,2024-02-02,PRD005
RXD000011,HCP000011,2024-02-02,PRD007
RXD000011,HCP000011,2024-02-16,PRD001
RXD000011,HCP000011,2024-02-16,PRD002
RXD000011,HCP000011,2024-02-16,PRD003
RXD000011,HCP000011,2024-02-16,PRD004
RXD000011,HCP000011,2024-02-16,PRD005
RXD000011,HCP000011,2024-02-16,PRD007
RXD000011,HCP000011,2024-03-01,PRD001
RXD000011,HCP000011,2024-03-01,PRD002
RXD000011,HCP000011,2024-03-01,PRD003
RXD000011,HCP000011,2024-03-01,PRD004
RXD000011,HCP000011,2024-03-01,PRD005
RXD000011,HCP000011,2024-03-01,PRD007
RXD000011,HCP000011,2024-03-15,PRD001
RXD000011,HCP000011,2024-03-15,PRD002
RXD000011,HCP000011,2024-03-15,PRD003
RXD000011,HCP000011,2024-03-15,PRD004
RXD000011,HCP000011,2024-03-15,PRD005
RXD000011,HCP000011,2024-03-15,PRD007
RXD000011,HCP000011,2024-03-29,PRD001
RXD000011,HCP000011,2024-03-29,PRD002
RXD000011,HCP000011,2024-03-29,PRD003
RXD000011,HCP000011,2024-03-29,PRD004
RXD000011,HCP000011,2024-03-29,PRD005
RXD000011,HCP000011,2024-03-29,PRD007
RXD000014,HCP000014,2024-01-05,PRD002
RXD000014,HCP000014,2024-01-05,PRD003
RXD000014,HCP000014,2024-01-05,PRD004
RXD000014,HCP000014,2024-01-05,PRD005
RXD000014,HCP000014,2024-01-05,PRD007
RXD000014,HCP000014,2024-01-19,PRD002
RXD000014,HCP000014,2024-01-19,PRD003
RXD000014,HCP000014,2024-01-19,PRD004
RXD000014,HCP000014,2024-01-19,PRD005
RXD000014,HCP000014,2024-01-19,PRD007
UNK479761,HCP000014,2024-02-02,PRD001
RXD000014,HCP000014,2024-02-02,PRD002
RXD000014,HCP000014,2024-02-02,PRD003
RXD000014,HCP000014,2024-02-02,PRD004
RXD000014,HCP000014,2024-02-02,PRD005
RXD000014,HCP000014,2024-02-02,PRD007
RXD000014,HCP000014,2024-02-16,PRD001
RXD000014,HCP000014,2024-02-16,PRD002
RXD000014,HCP000014,2024-02-16,PRD003
RXD000014,HCP000014,2024-02-16,PRD004
RXD000014,HCP000014,2024-02-16,PRD005
RXD000014,HCP000014,2024-02-16,PRD007
RXD000014,HCP000014,2024-03-01,PRD001
RXD000014,HCP000014,2024-03-01,PRD002
RXD000014,HCP000014,2024-03-01,PRD003
RXD000014,HCP000014,2024-03-01,PRD004
RXD000014,HCP000014,2024-03-01,PRD005
RXD000014,HCP000014,2024-03-01,PRD007
RXD000014,HCP000014,2024-03-15,PRD001
RXD000014,HCP000014,2024-03-15,PRD002
RXD000014,HCP000014,2024-03-15,PRD003
RXD000014,HCP000014,2024-03-15,PRD004
RXD000014,HCP000014,2024-03-15,PRD005
RXD000014,HCP000014,2024-03-15,PRD007
RXD000014,HCP000014,2024-03-29,PRD001
RXD000014,HCP000014,2024-03-29,PRD002
RXD000014,HCP000014,2024-03-29,PRD003
RXD000014,HCP000014,2024-03-29,PRD004
RXD000014,HCP000014,2024-03-29,PRD005
RXD000014,HCP000014,2024-03-29,PRD007
RXD000015,HCP000015,2024-01-05,PRD002
RXD000015,HCP000015,2024-01-05,PRD003
RXD000015,HCP000015,2024-01-05,PRD004
RXD000015,HCP000015,2024-01-05,PRD005
RXD000015,HCP000015,2024-01-05,PRD007
RXD000015,HCP000015,2024-01-19,PRD001
RXD000015,HCP000015,2024-01-19,PRD002
RXD000015,HCP000015,2024-01-19,PRD003
RXD000015,HCP000015,2024-01-19,PRD004
RXD000015,HCP000015,2024-01-19,PRD005
RXD000015,HCP000015,2024-01-19,PRD007
RXD000015,HCP000015,2024-02-02,PRD001
RXD000015,HCP000015,2024-02-02,PRD002
RXD000015,HCP000015,2024-02-02,PRD003
RXD000015,HCP000015,2024-02-02,PRD004
RXD000015,HCP000015,2024-02-02,PRD005
RXD000015,HCP000015,2024-02-02,PRD007
RXD000015,HCP000015,2024-02-16,PRD001
RXD000015,HCP000015,2024-02-16,PRD002
RXD000015,HCP000015,2024-02-16,PRD003
RXD000015,HCP000015,2024-02-16,PRD004
RXD000015,HCP000015,2024-02-16,PRD005
RXD000015,HCP000015,2024-02-16,PRD007
RXD000015,HCP000015,2024-03-01,PRD001
RXD000015,HCP000015,2024-03-01,PRD002
RXD000015,HCP000015,2024-03-01,PRD003
UNK328173,HCP000015,2024-03-01,PRD004
RXD000015,HCP000015,2024-03-01,PRD005
RXD000015,HCP000015,2024-03-01,PRD007
RXD000015,HCP000015,2024-03-15,PRD001
RXD000015,HCP000015,2024-03-15,PRD002
UNK422661,HCP000015,2024-03-15,PRD003
RXD000015,HCP000015,2024-03-15,PRD004
RXD000015,HCP000015,2024-03-15,PRD005
RXD000015,HCP000015,2024-03-15,PRD007
RXD000015,HCP000015,2024-03-29,PRD001
RXD000015,HCP000015,2024-03-29,PRD002
RXD000015,HCP000015,2024-03-29,PRD003
RXD000015,HCP000015,2024-03-29,PRD004
RXD000015,HCP000015,2024-03-29,PRD005
RXD000015,HCP000015,2024-03-29,PRD007
RXD000017,HCP000017,2024-01-05,PRD001
RXD000017,HCP000017,2024-01-05,PRD002
RXD000017,HCP000017,2024-01-05,PRD003
RXD000017,HCP000017,2024-01-05,PRD004
RXD000017,HCP000017,2024-01-05,PRD005
RXD000017,HCP000017,2024-01-05,PRD007
RXD000017,HCP000017,2024-01-19,PRD001
RXD000017,HCP000017,2024-01-19,PRD002
RXD000017,HCP000017,2024-01-19,PRD003
UNK674056,HCP000017,2024-01-19,PRD004
RXD000017,HCP000017,2024-01-19,PRD005
RXD000017,HCP000017,2024-01-19,PRD007
RXD000017,HCP000017,2024-02-02,PRD001
RXD000017,HCP000017,2024-02-02,PRD002
RXD000017,HCP000017,2024-02-02,PRD003
RXD000017,HCP000017,2024-02-02,PRD004
RXD000017,HCP000017,2024-02-02,PRD005
RXD000017,HCP000017,2024-02-02,PRD007
RXD000017,HCP000017,2024-02-16,PRD001
RXD000017,HCP000017,2024-02-16,PRD002
RXD000017,HCP000017,2024-02-16,PRD003
RXD000017,HCP000017,2024-02-16,PRD004
RXD000017,HCP000017,2024-02-16,PRD005
RXD000017,HCP000017,2024-02-16,PRD007
RXD000017,HCP000017,2024-03-01,PRD001
RXD000017,HCP000017,2024-03-01,PRD002
RXD000017,HCP000017,2024-03-01,PRD003
RXD000017,HCP000017,2024-03-01,PRD004
RXD000017,HCP000017,2024-03-01,PRD005
RXD000017,HCP000017,2024-03-01,PRD007
RXD000017,HCP000017,2024-03-15,PRD001
RXD000017,HCP000017,2024-03-15,PRD002
RXD000017,HCP000017,2024-03-15,PRD003
RXD000017,HCP000017,2024-03-15,PRD004
RXD000017,HCP000017,2024-03-15,PRD005
RXD000017,HCP000017,2024-03-15,PRD007
RXD000017,HCP000017,2024-03-29,PRD001
RXD000017,HCP000017,2024-03-29,PRD002
RXD000017,HCP000017,2024-03-29,PRD003
RXD000017,HCP000017,2024-03-29,PRD004
RXD000017,HCP000017,2024-03-29,PRD005
RXD000017,HCP000017,2024-03-29,PRD007
UNK989887,HCP000019,2024-01-05,PRD001
RXD000019,HCP000019,2024-01-05,PRD002
RXD000019,HCP000019,2024-01-05,PRD003
RXD000019,HCP000019,2024-01-05,PRD004
RXD000019,HCP000019,2024-01-05,PRD005
RXD000019,HCP000019,2024-01-05,PRD007
UNK709350,HCP000019,2024-01-19,PRD001
RXD000019,HCP000019,2024-01-19,PRD002
RXD000019,HCP000019,2024-01-19,PRD003
RXD000019,HCP000019,2024-01-19,PRD004
RXD000019,HCP000019,2024-01-19,PRD005
RXD000019,HCP000019,2024-01-19,PRD007
RXD000019,HCP000019,2024-02-02,PRD001
RXD000019,HCP000019,2024-02-02,PRD002
RXD000019,HCP000019,2024-02-02,PRD003
RXD000019,HCP000019,2024-02-02,PRD004
RXD000019,HCP000019,2024-02-02,PRD005
RXD000019,HCP000019,2024-02-02,PRD007
RXD000019,HCP000019,2024-02-16,PRD001
RXD000019,HCP000019,2024-02-16,PRD002
RXD000019,HCP000019,2024-02-16,PRD003
RXD000019,HCP000019,2024-02-16,PRD004
RXD000019,HCP000019,2024-02-16,PRD005
RXD000019,HCP000019,2024-02-16,PRD007
RXD000019,HCP000019,2024-03-01,PRD001
RXD000019,HCP000019,2024-03-01,PRD002
RXD000019,HCP000019,2024-03-01,PRD003
UNK721293,HCP000019,2024-03-01,PRD004
UNK813567,HCP000019,2024-03-01,PRD005
RXD000019,HCP000019,2024-03-01,PRD007
RXD000019,HCP000019,2024-03-15,PRD001
RXD000019,HCP000019,2024-03-15,PRD002
RXD000019,HCP000019,2024-03-15,PRD003
UNK470088,HCP000019,2024-03-15,PRD004
RXD000019,HCP000019,2024-03-15,PRD005
RXD000019,HCP000019,2024-03-15,PRD007
RXD000019,HCP000019,2024-03-29,PRD001
RXD000019,HCP000019,2024-03-29,PRD002
RXD000019,HCP000019,2024-03-29,PRD003
RXD000019,HCP000019,2024-03-29,PRD004
RXD000019,HCP000019,2024-03-29,PRD005
RXD000019,HCP000019,2024-03-29,PRD007
RXD000020,HCP000020,2024-01-05,PRD001
RXD000020,HCP000020,2024-01-05,PRD002
RXD000020,HCP000020,2024-01-05,PRD003
RXD000020,HCP000020,2024-01-05,PRD004
RXD000020,HCP000020,2024-01-05,PRD005
RXD000020,HCP000020,2024-01-05,PRD007
RXD000020,HCP000020,2024-01-19,PRD001
RXD000020,HCP000020,2024-01-19,PRD002
RXD000020,HCP000020,2024-01-19,PRD003
RXD000020,HCP000020,2024-01-19,PRD004
RXD000020,HCP000020,2024-01-19,PRD005
UNK197239,HCP000020,2024-01-19,PRD007
RXD000020,HCP000020,2024-02-02,PRD001
RXD000020,HCP000020,2024-02-02,PRD002
RXD000020,HCP000020,2024-02-02,PRD003
RXD000020,HCP000020,2024-02-02,PRD004
RXD000020,HCP000020,2024-02-02,PRD005
RXD000020,HCP000020,2024-02-02,PRD007
RXD000020,HCP000020,2024-02-16,PRD001
RXD000020,HCP000020,2024-02-16,PRD002
RXD000020,HCP000020,2024-02-16,PRD003
RXD000020,HCP000020,2024-02-16,PRD004
RXD000020,HCP000020,2024-02-16,PRD005
RXD000020,HCP000020,2024-02-16,PRD007
RXD000020,HCP000020,2024-03-01,PRD001
UNK006736,HCP000020,2024-03-01,PRD002
RXD000020,HCP000020,2024-03-01,PRD003
RXD000020,HCP000020,2024-03-01,PRD004
RXD000020,HCP000020,2024-03-01,PRD005
RXD000020,HCP000020,2024-03-01,PRD007
UNK107797,HCP000020,2024-03-15,PRD001
RXD000020,HCP000020,2024-03-15,PRD002
RXD000020,HCP000020,2024-03-15,PRD003
RXD000020,HCP000020,2024-03-15,PRD004
RXD000020,HCP000020,2024-03-15,PRD005
RXD000020,HCP000020,2024-03-15,PRD007
RXD000020,HCP000020,2024-03-29,PRD001
RXD000020,HCP000020,2024-03-29,PRD002
RXD000020,HCP000020,2024-03-29,PRD003
UNK313273,HCP000020,2024-03-29,PRD004
RXD000020,HCP000020,2024-03-29,PRD005
RXD000020,HCP000020,2024-03-29,PRD007
RXD000022,HCP000022,2024-01-05,PRD002
RXD000022,HCP000022,2024-01-05,PRD004
RXD000022,HCP000022,2024-01-05,PRD005
RXD000022,HCP000022,2024-01-05,PRD007
RXD000022,HCP000022,2024-01-19,PRD002
RXD000022,HCP000022,2024-01-19,PRD004
RXD000022,HCP000022,2024-01-19,PRD005
RXD000022,HCP000022,2024-01-19,PRD007
RXD000022,HCP000022,2024-02-02,PRD002
RXD000022,HCP000022,2024-02-02,PRD004
RXD000022,HCP000022,2024-02-02,PRD005
RXD000022,HCP000022,2024-02-02,PRD007
RXD000022,HCP000022,2024-02-16,PRD002
RXD000022,HCP000022,2024-02-16,PRD004
RXD000022,HCP000022,2024-02-16,PRD005
RXD000022,HCP000022,2024-02-16,PRD007
RXD000022,HCP000022,2024-03-01,PRD002
RXD000022,HCP000022,2024-03-01,PRD004
RXD000022,HCP000022,2024-03-01,PRD005
RXD000022,HCP000022,2024-03-01,PRD007
RXD000022,HCP000022,2024-03-15,PRD002
RXD000022,HCP000022,2024-03-15,PRD004
RXD000022,HCP000022,2024-03-15,PRD005
RXD000022,HCP000022,2024-03-15,PRD007
RXD000022,HCP000022,2024-03-29,PRD002
RXD000022,HCP000022,2024-03-29,PRD004
RXD000022,HCP000022,2024-03-29,PRD005
RXD000022,HCP000022,2024-03-29,PRD007
RXD000024,HCP000024,2024-01-05,PRD002
UNK732911,HCP000024,2024-01-05,PRD003
RXD000024,HCP000024,2024-01-05,PRD004
RXD000024,HCP000024,2024-01-05,PRD005
RXD000024,HCP000024,2024-01-05,PRD007
RXD000024,HCP000024,2024-01-19,PRD002
RXD000024,HCP000024,2024-01-19,PRD003
RXD000024,HCP000024,2024-01-19,PRD004
RXD000024,HCP000024,2024-01-19,PRD005
RXD000024,HCP000024,2024-01-19,PRD007
RXD000024,HCP000024,2024-02-02,PRD001
RXD000024,HCP000024,2024-02-02,PRD002
RXD000024,HCP000024,2024-02-02,PRD003
RXD000024,HCP000024,2024-02-02,PRD004
RXD000024,HCP000024,2024-02-02,PRD005
UNK792929,HCP000024,2024-02-02,PRD007
RXD000024,HCP000024,2024-02-16,PRD001
RXD000024,HCP000024,2024-02-16,PRD002
RXD000024,HCP000024,2024-02-16,PRD003
RXD000024,HCP000024,2024-02-16,PRD004
RXD000024,HCP000024,2024-02-16,PRD005
RXD000024,HCP000024,2024-02-16,PRD007
RXD000024,HCP000024,2024-03-01,PRD001
RXD000024,HCP000024,2024-03-01,PRD002
RXD000024,HCP000024,2024-03-01,PRD003
RXD000024,HCP000024,2024-03-01,PRD004
UNK688468,HCP000024,2024-03-01,PRD005
UNK864623,HCP000024,2024-03-01,PRD007
RXD000024,HCP000024,2024-03-15,PRD001
RXD000024,HCP000024,2024-03-15,PRD002
RXD000024,HCP000024,2024-03-15,PRD003
RXD000024,HCP000024,2024-03-15,PRD004
RXD000024,HCP000024,2024-03-15,PRD005
RXD000024,HCP000024,2024-03-15,PRD007
RXD000024,HCP000024,2024-03-29,PRD001
RXD000024,HCP000024,2024-03-29,PRD002
UNK860578,HCP000024,2024-03-29,PRD003
RXD000024,HCP000024,2024-03-29,PRD004
RXD000024,HCP000024,2024-03-29,PRD005
RXD000024,HCP000024,2024-03-29,PRD007
RXD000025,HCP000025,2024-01-05,PRD001
RXD000025,HCP000025,2024-01-05,PRD002
RXD000025,HCP000025,2024-01-05,PRD003
RXD000025,HCP000025,2024-01-05,PRD004
RXD000025,HCP000025,2024-01-05,PRD005
RXD000025,HCP000025,2024-01-05,PRD007
RXD000025,HCP000025,2024-01-19,PRD001
UNK304971,HCP000025,2024-01-19,PRD002
RXD000025,HCP000025,2024-01-19,PRD003
RXD000025,HCP000025,2024-01-19,PRD004
RXD000025,HCP000025,2024-01-19,PRD005
RXD000025,HCP000025,2024-01-19,PRD007
RXD000025,HCP000025,2024-02-02,PRD001
RXD000025,HCP000025,2024-02-02,PRD002
RXD000025,HCP000025,2024-02-02,PRD003
RXD000025,HCP000025,2024-02-02,PRD004
RXD000025,HCP000025,2024-02-02,PRD005
RXD000025,HCP000025,2024-02-02,PRD007
RXD000025,HCP000025,2024-02-16,PRD001
RXD000025,HCP000025,2024-02-16,PRD002
RXD000025,HCP000025,2024-02-16,PRD003
RXD000025,HCP000025,2024-02-16,PRD004
RXD000025,HCP000025,2024-02-16,PRD005
RXD000025,HCP000025,2024-02-16,PRD007
RXD000025,HCP000025,2024-03-01,PRD001
RXD000025,HCP000025,2024-03-01,PRD002
RXD000025,HCP000025,2024-03-01,PRD003
RXD000025,HCP000025,2024-03-01,PRD004
RXD000025,HCP000025,2024-03-01,PRD005
RXD000025,HCP000025,2024-03-01,PRD007
RXD000025,HCP000025,2024-03-15,PRD001
RXD000025,HCP000025,2024-03-15,PRD002
RXD000025,HCP000025,2024-03-15,PRD003
RXD000025,HCP000025,2024-03-15,PRD004
RXD000025,HCP000025,2024-03-15,PRD005
RXD000025,HCP000025,2024-03-15,PRD007
RXD000025,HCP000025,2024-03-29,PRD001
RXD000025,HCP000025,2024-03-29,PRD002
RXD000025,HCP000025,2024-03-29,PRD003
RXD000025,HCP000025,2024-03-29,PRD004
RXD000025,HCP000025,2024-03-29,PRD005
RXD000025,HCP000025,2024-03-29,PRD007
RXD000030,HCP000030,2024-01-05,PRD002
RXD000030,HCP000030,2024-01-05,PRD003
RXD000030,HCP000030,2024-01-05,PRD004
RXD000030,HCP000030,2024-01-05,PRD005
UNK645985,HCP000030,2024-01-05,PRD007
RXD000030,HCP000030,2024-01-19,PRD002
RXD000030,HCP000030,2024-01-19,PRD003
RXD000030,HCP000030,2024-01-19,PRD004
UNK195533,HCP000030,2024-01-19,PRD005
RXD000030,HCP000030,2024-01-19,PRD007
RXD000030,HCP000030,2024-02-02,PRD001
RXD000030,HCP000030,2024-02-02,PRD002
RXD000030,HCP000030,2024-02-02,PRD003
RXD000030,HCP000030,2024-02-02,PRD004
RXD000030,HCP000030,2024-02-02,PRD005
RXD000030,HCP000030,2024-02-02,PRD007
RXD000030,HCP000030,2024-02-16,PRD001
RXD000030,HCP000030,2024-02-16,PRD002
RXD000030,HCP000030,2024-02-16,PRD003
RXD000030,HCP000030,2024-02-16,PRD004
RXD000030,HCP000030,2024-02-16,PRD005
RXD000030,HCP000030,2024-02-16,PRD007
RXD000030,HCP000030,2024-03-01,PRD001
RXD000030,HCP000030,2024-03-01,PRD002
RXD000030,HCP000030,2024-03-01,PRD003
RXD000030,HCP000030,2024-03-01,PRD004
RXD000030,HCP000030,2024-03-01,PRD005
RXD000030,HCP000030,2024-03-01,PRD007
RXD000030,HCP000030,2024-03-15,PRD001
RXD000030,HCP000030,2024-03-15,PRD002
RXD000030,HCP000030,2024-03-15,PRD003
RXD000030,HCP000030,2024-03-15,PRD004
RXD000030,HCP000030,2024-03-15,PRD005
RXD000030,HCP000030,2024-03-15,PRD007
RXD000030,HCP000030,2024-03-29,PRD001
RXD000030,HCP000030,2024-03-29,PRD002
RXD000030,HCP000030,2024-03-29,PRD003
RXD000030,HCP000030,2024-03-29,PRD004
RXD000030,HCP000030,2024-03-29,PRD005
RXD000030,HCP000030,2024-03-29,PRD007
RXD000031,HCP000031,2024-01-05,PRD001
UNK140212,HCP000031,2024-01-05,PRD002
RXD000031,HCP000031,2024-01-05,PRD003
RXD000031,HCP000031,2024-01-05,PRD004
RXD000031,HCP000031,2024-01-05,PRD005
UNK793698,HCP000031,2024-01-05,PRD007
RXD000031,HCP000031,2024-01-19,PRD001
RXD000031,HCP000031,2024-01-19,PRD002
RXD000031,HCP000031,2024-01-19,PRD003
RXD000031,HCP000031,2024-01-19,PRD004
RXD000031,HCP000031,2024-01-19,PRD005
RXD000031,HCP000031,2024-01-19,PRD007
RXD000031,HCP000031,2024-02-02,PRD001
RXD000031,HCP000031,2024-02-02,PRD002
RXD000031,HCP000031,2024-02-02,PRD003
RXD000031,HCP000031,2024-02-02,PRD004
RXD000031,HCP000031,2024-02-02,PRD005
UNK604196,HCP000031,2024-02-02,PRD007
RXD000031,HCP000031,2024-02-16,PRD001
RXD000031,HCP000031,2024-02-16,PRD002
RXD000031,HCP000031,2024-02-16,PRD003
RXD000031,HCP000031,2024-02-16,PRD004
RXD000031,HCP000031,2024-02-16,PRD005
RXD000031,HCP000031,2024-02-16,PRD007
RXD000031,HCP000031,2024-03-01,PRD001
RXD000031,HCP000031,2024-03-01,PRD002
