hco_id,dea_number,hin,hco_name,class_of_trade,is_340b
ORG0038,AF0025094,H25730081,Health System Parent 38,HOSPITAL,False
ORG0039,GF2410214,H81015240,Health System Parent 39,HOSPITAL,False
ORG0040,FM2948632,H73294044,Health System Parent 40,HOSPITAL,False
ORG0041,AA9180117,H64205256,Health System Parent 41,HOSPITAL,False
ORG0042,PR8222954,H96990378,Health System Parent 42,HOSPITAL,False
ORG0043,MF8080733,H07167873,Health System Parent 43,HOSPITAL,False
ORG0044,BM6017519,H20905955,Health System Parent 44,HOSPITAL,False
ORG0045,BB7045123,H69810051,Health System Parent 45,HOSPITAL,False
ORG0046,FP6577527,H79149590,Health System Parent 46,HOSPITAL,False
ORG0047,MF1641392,H16198992,Health System Parent 47,HOSPITAL,False
ORG0048,GA7675795,H41796887,Health System Parent 48,HOSPITAL,False
ORG0049,RF8798636,H33655340,Health System Parent 49,HOSPITAL,False
SITE00000,PF8417070,H26941287,Retail Chain Site 0,RETAIL_CHAIN,False
SITE00001,AG1287185,H87355723,Independent Site 1,INDEPENDENT,False
SITE00002,GB4453584,H31311904,Hospital Site 2,HOSPITAL,False
SITE00003,BR0311903,H96049455,Clinic Site 3,CLINIC,False
SITE00004,GP1896350,H93076607,Ltc Site 4,LTC,False
SITE00005,MP0592280,H34714176,Mail Site 5,MAIL,False
SITE00006,GF6650469,H53510698,Specialty Site 6,SPECIALTY,False
SITE00007,RG5761339,H73773485,Covered Entity 340B Site 7,COVERED_ENTITY_340B,True
SITE00008,MF3644421,H80361676,Retail Chain Site 8,RETAIL_CHAIN,False
SITE00009,RP2961182,H71222699,Independent Site 9,INDEPENDENT,False
SITE00010,PB3603795,H34650547,Hospital Site 10,HOSPITAL,False
SITE00011,FF8574468,H38249993,Clinic Site 11,CLINIC,False
SITE00012,AG6462666,H23245342,Ltc Site 12,LTC,False
SITE00013,AF4718216,H76113492,Mail Site 13,MAIL,False
SITE00014,FR6091572,H24826417,Specialty Site 14,SPECIALTY,False
SITE00015,FM7609090,H51067193,Covered Entity 340B Site 15,COVERED_ENTITY_340B,True
SITE00016,PF3768989,H43327781,Retail Chain Site 16,RETAIL_CHAIN,False
SITE00017,FB3520502,H00487003,Independent Site 17,INDEPENDENT,False
SITE00018,PG5480043,H57523725,Hospital Site 18,HOSPITAL,False
SITE00019,BM7917031,H11080369,Clinic Site 19,CLINIC,False
SITE00020,RR9984162,H46922705,Ltc Site 20,LTC,False
SITE00021,AR6346224,H27183513,Mail Site 21,MAIL,False
SITE00022,MP0300258,H76718804,Specialty Site 22,SPECIALTY,False
SITE00023,MG1360280,H42145101,Covered Entity 340B Site 23,COVERED_ENTITY_340B,True
SITE00024,FF2964288,H09607101,Retail Chain Site 24,RETAIL_CHAIN,False
SITE00025,PM5194024,H03490598,Independent Site 25,INDEPENDENT,False
SITE00026,RF8375416,H32191780,Hospital Site 26,HOSPITAL,False
SITE00027,FR8973732,H49534263,Clinic Site 27,CLINIC,False
SITE00028,FB5793827,H57752589,Ltc Site 28,LTC,False
SITE00029,PF1995906,H09695003,Mail Site 29,MAIL,False
SITE00030,GP9388938,H50261471,Specialty Site 30,SPECIALTY,False
SITE00031,PB9598531,H13854256,Covered Entity 340B Site 31,COVERED_ENTITY_340B,True
SITE00032,AA8728027,H37800955,Retail Chain Site 32,RETAIL_CHAIN,False
SITE00033,PM1054959,H24151431,Independent Site 33,INDEPENDENT,False
SITE00034,AM6988634,H14302539,Hospital Site 34,HOSPITAL,False
SITE00035,RF0397891,H20089175,Clinic Site 35,CLINIC,False
SITE00036,AB9237152,H19106817,Ltc Site 36,LTC,False
SITE00037,AR7353598,H29477444,Mail Site 37,MAIL,False
SITE00038,AG7741986,H00318229,Specialty Site 38,SPECIALTY,False
SITE00039,BG0319011,H15392566,Covered Entity 340B Site 39,COVERED_ENTITY_340B,True
SITE00040,RA3104244,H69833715,Retail Chain Site 40,RETAIL_CHAIN,False
SITE00041,GP2779179,H71815455,Independent Site 41,INDEPENDENT,False
SITE00042,RF9075227,H66059044,Hospital Site 42,HOSPITAL,False
SITE00043,PP9446187,H63346769,Clinic Site 43,CLINIC,False
SITE00044,AP4452573,H13136172,Ltc Site 44,LTC,False
SITE00045,BB3235187,H71781737,Mail Site 45,MAIL,False
SITE00046,MG8710442,H75718244,Specialty Site 46,SPECIALTY,False
SITE00047,FF7297131,H23104738,Covered Entity 340B Site 47,COVERED_ENTITY_340B,True
SITE00048,MM0869464,H88957347,Retail Chain Site 48,RETAIL_CHAIN,False
SITE00049,GG7568917,H21708796,Independent Site 49,INDEPENDENT,False
SITE00050,MM9439562,H21217069,Hospital Site 50,HOSPITAL,False
SITE00051,BB8929971,H26984292,Clinic Site 51,CLINIC,False
SITE00052,BP7675378,H82605539,Ltc Site 52,LTC,False
SITE00053,AA3371321,H11544478,Mail Site 53,MAIL,False
SITE00054,FB9029707,H90441211,Specialty Site 54,SPECIALTY,False
SITE00055,PM2621221,H09549248,Covered Entity 340B Site 55,COVERED_ENTITY_340B,True
SITE00056,PB2396828,H02508853,Retail Chain Site 56,RETAIL_CHAIN,False
SITE00057,RA7940815,H97081762,Independent Site 57,INDEPENDENT,False
SITE00058,RF8799727,H72625713,Hospital Site 58,HOSPITAL,False
SITE00059,FF3664092,H05468025,Clinic Site 59,CLINIC,False
SITE00060,BP2326269,H89042973,Ltc Site 60,LTC,False
SITE00061,PA8349803,H75258277,Mail Site 61,MAIL,False
SITE00062,PB4039471,H63795141,Specialty Site 62,SPECIALTY,False
SITE00063,AF9511291,H96983812,Covered Entity 340B Site 63,COVERED_ENTITY_340B,True
SITE00064,AA0158750,H70648364,Retail Chain Site 64,RETAIL_CHAIN,False
SITE00065,AB4772417,H27863966,Independent Site 65,INDEPENDENT,False
SITE00066,MM9129522,H35264616,Hospital Site 66,HOSPITAL,False
SITE00067,AP4044092,H34877288,Clinic Site 67,CLINIC,False
SITE00068,MP9949566,H97104564,Ltc Site 68,LTC,False
SITE00069,GM1421050,H64375770,Mail Site 69,MAIL,False
SITE00070,MB3363427,H12299517,Specialty Site 70,SPECIALTY,False
SITE00071,BM2657909,H15367849,Covered Entity 340B Site 71,COVERED_ENTITY_340B,True
SITE00072,GB9499957,H92036505,Retail Chain Site 72,RETAIL_CHAIN,False
SITE00073,FF3514158,H94021795,Independent Site 73,INDEPENDENT,False
SITE00074,MA0095800,H81156246,Hospital Site 74,HOSPITAL,False
SITE00075,GB5935618,H28617159,Clinic Site 75,CLINIC,False
SITE00076,PB7013473,H03456266,Ltc Site 76,LTC,False
SITE00077,MM6210825,H41401185,Mail Site 77,MAIL,False
SITE00078,GR5087791,H92915700,Specialty Site 78,SPECIALTY,False
SITE00079,GB6770771,H85475539,Covered Entity 340B Site 79,COVERED_ENTITY_340B,True
SITE00080,PG5957029,H86318725,Retail Chain Site 80,RETAIL_CHAIN,False
SITE00081,GB4066833,H04477125,Independent Site 81,INDEPENDENT,False
SITE00082,RB6113864,H21211610,Hospital Site 82,HOSPITAL,False
SITE00083,GB2406633,H36714042,Clinic Site 83,CLINIC,False
SITE00084,GB5106573,H84710789,Ltc Site 84,LTC,False
SITE00085,PG6299970,H34955173,Mail Site 85,MAIL,False
SITE00086,FA4192401,H20799275,Specialty Site 86,SPECIALTY,False
SITE00087,RR2857814,H12488335,Covered Entity 340B Site 87,COVERED_ENTITY_340B,True
SITE00088,FG2764156,H32534337,Retail Chain Site 88,RETAIL_CHAIN,False
SITE00089,BA9437054,H51926731,Independent Site 89,INDEPENDENT,False
SITE00090,MR4351158,H57146300,Hospital Site 90,HOSPITAL,False
SITE00091,FB8032219,H34393333,Clinic Site 91,CLINIC,False
SITE00092,FR0575930,H70778481,Ltc Site 92,LTC,False
SITE00093,GA9947002,H61067778,Mail Site 93,MAIL,False
SITE00094,PA6442938,H40812889,Specialty Site 94,SPECIALTY,False
SITE00095,FG0173655,H44892690,Covered Entity 340B Site 95,COVERED_ENTITY_340B,True
SITE00096,GB2835321,H99135372,Retail Chain Site 96,RETAIL_CHAIN,False
SITE00097,FB0631392,H82123153,Independent Site 97,INDEPENDENT,False
SITE00098,GF8247990,H81596933,Hospital Site 98,HOSPITAL,False
SITE00099,RR2476050,H16135640,Clinic Site 99,CLINIC,False
SITE00100,FR3854280,H43526311,Ltc Site 100,LTC,False
SITE00101,GR7032529,H25199730,Mail Site 101,MAIL,False
SITE00102,AG5017705,H07885696,Specialty Site 102,SPECIALTY,False
SITE00103,GM2187644,H01837732,Covered Entity 340B Site 103,COVERED_ENTITY_340B,True
SITE00104,FB9175623,H62600760,Retail Chain Site 104,RETAIL_CHAIN,False
SITE00105,GB4840375,H54256869,Independent Site 105,INDEPENDENT,False
SITE00106,BB1784698,H09004702,Hospital Site 106,HOSPITAL,False
SITE00107,FG8513383,H17406288,Clinic Site 107,CLINIC,False
SITE00108,GP9207009,H87800308,Ltc Site 108,LTC,False
SITE00109,BP8405894,H15890240,Mail Site 109,MAIL,False
SITE00110,AF3524436,H37283018,Specialty Site 110,SPECIALTY,False
SITE00111,AB4150102,H71920371,Covered Entity 340B Site 111,COVERED_ENTITY_340B,True
SITE00112,FM1992315,H13565276,Retail Chain Site 112,RETAIL_CHAIN,False
SITE00113,PF8359569,H94415943,Independent Site 113,INDEPENDENT,False
SITE00114,AA1778019,H97100686,Hospital Site 114,HOSPITAL,False
SITE00115,FR6190516,H44673941,Clinic Site 115,CLINIC,False
SITE00116,AG4857536,H67162776,Ltc Site 116,LTC,False
SITE00117,GR8563035,H12078835,Mail Site 117,MAIL,False
SITE00118,PF5233071,H31139935,Specialty Site 118,SPECIALTY,False
SITE00119,FP7885196,H99141099,Covered Entity 340B Site 119,COVERED_ENTITY_340B,True
SITE00120,PM4106679,H48728059,Retail Chain Site 120,RETAIL_CHAIN,False
SITE00121,FR1207238,H31029592,Independent Site 121,INDEPENDENT,False
SITE00122,GB9909982,H65666565,Hospital Site 122,HOSPITAL,False
SITE00123,FA8535045,H38215830,Clinic Site 123,CLINIC,False
SITE00124,BG1679325,H69022248,Ltc Site 124,LTC,False
SITE00125,MM3340704,H60930656,Mail Site 125,MAIL,False
SITE00126,PR9119302,H83071306,Specialty Site 126,SPECIALTY,False
SITE00127,PP6876818,H27940349,Covered Entity 340B Site 127,COVERED_ENTITY_340B,True
SITE00128,MP4011468,H27603389,Retail Chain Site 128,RETAIL_CHAIN,False
SITE00129,FB3858993,H89932599,Independent Site 129,INDEPENDENT,False
SITE00130,BR0548856,H65142462,Hospital Site 130,HOSPITAL,False
SITE00131,MF8228837,H97061809,Clinic Site 131,CLINIC,False
SITE00132,RB3455172,H38639352,Ltc Site 132,LTC,False
SITE00133,MF4365423,H44352514,Mail Site 133,MAIL,False
SITE00134,PB1056277,H32761245,Specialty Site 134,SPECIALTY,False
SITE00135,RB1885093,H98866503,Covered Entity 340B Site 135,COVERED_ENTITY_340B,True
SITE00136,BF1568902,H32810892,Retail Chain Site 136,RETAIL_CHAIN,False
SITE00137,GR8236441,H27873113,Independent Site 137,INDEPENDENT,False
SITE00138,GB5471052,H70590385,Hospital Site 138,HOSPITAL,False
SITE00139,PB7490920,H75810584,Clinic Site 139,CLINIC,False
SITE00140,GM7961530,H05954060,Ltc Site 140,LTC,False
SITE00141,BA2763665,H51251417,Mail Site 141,MAIL,False
SITE00142,BM7559435,H87047298,Specialty Site 142,SPECIALTY,False
SITE00143,PP3904604,H56122635,Covered Entity 340B Site 143,COVERED_ENTITY_340B,True
SITE00144,BM4040455,H27524197,Retail Chain Site 144,RETAIL_CHAIN,False
SITE00145,RP0422885,H71284542,Independent Site 145,INDEPENDENT,False
SITE00146,FM0173454,H72723582,Hospital Site 146,HOSPITAL,False
SITE00147,GF8435729,H46941704,Clinic Site 147,CLINIC,False
SITE00148,FP1846529,H20768400,Ltc Site 148,LTC,False
SITE00149,FF5501110,H35334532,Mail Site 149,MAIL,False
SITE00150,BR9566659,H70394286,Specialty Site 150,SPECIALTY,False
SITE00151,RG3662950,H49356781,Covered Entity 340B Site 151,COVERED_ENTITY_340B,True
SITE00152,BB8802779,H50811660,Retail Chain Site 152,RETAIL_CHAIN,False
SITE00153,MG5529578,H96747370,Independent Site 153,INDEPENDENT,False
SITE00154,RB6274135,H70968910,Hospital Site 154,HOSPITAL,False
SITE00155,MB5032691,H76991751,Clinic Site 155,CLINIC,False
SITE00156,RB2416212,H99548166,Ltc Site 156,LTC,False
SITE00157,PA7610724,H09591266,Mail Site 157,MAIL,False
SITE00158,AG8612897,H06865422,Specialty Site 158,SPECIALTY,False
SITE00159,FA7722384,H74652877,Covered Entity 340B Site 159,COVERED_ENTITY_340B,True
SITE00160,FP5415134,H13288066,Retail Chain Site 160,RETAIL_CHAIN,False
SITE00161,BR1776903,H15683296,Independent Site 161,INDEPENDENT,False
SITE00162,MM9722840,H86076684,Hospital Site 162,HOSPITAL,False
SITE00163,MP4121833,H04946117,Clinic Site 163,CLINIC,False
SITE00164,PA8096306,H06722221,Ltc Site 164,LTC,False
SITE00165,BG4757938,H19183914,Mail Site 165,MAIL,False
SITE00166,BR9210977,H26065376,Specialty Site 166,SPECIALTY,False
SITE00167,MM6044611,H76829261,Covered Entity 340B Site 167,COVERED_ENTITY_340B,True
SITE00168,BB5216679,H14295060,Retail Chain Site 168,RETAIL_CHAIN,False
SITE00169,PA3035149,H00284607,Independent Site 169,INDEPENDENT,False
SITE00170,FF8131430,H08079437,Hospital Site 170,HOSPITAL,False
SITE00171,AM2001508,H62966175,Clinic Site 171,CLINIC,False
SITE00172,MA0569728,H48100909,Ltc Site 172,LTC,False
SITE00173,MA2546267,H32550515,Mail Site 173,MAIL,False
SITE00174,GR8400202,H19063179,Specialty Site 174,SPECIALTY,False
SITE00175,MA8203825,H80726117,Covered Entity 340B Site 175,COVERED_ENTITY_340B,True
SITE00176,BG2115305,H10149222,Retail Chain Site 176,RETAIL_CHAIN,False
SITE00177,PF1185232,H86834195,Independent Site 177,INDEPENDENT,False
SITE00178,AP3251000,H16200483,Hospital Site 178,HOSPITAL,False
SITE00179,AR9351667,H57581445,Clinic Site 179,CLINIC,False
SITE00180,BA0118606,H14001443,Ltc Site 180,LTC,False
SITE00181,RF7948410,H19434289,Mail Site 181,MAIL,False
SITE00182,MF0198955,H76424017,Specialty Site 182,SPECIALTY,False
SITE00183,GP7185628,H94088552,Covered Entity 340B Site 183,COVERED_ENTITY_340B,True
SITE00184,FB3355882,H95137831,Retail Chain Site 184,RETAIL_CHAIN,False
SITE00185,MR7338051,H80032423,Independent Site 185,INDEPENDENT,False
SITE00186,BF2585136,H35636313,Hospital Site 186,HOSPITAL,False
SITE00187,FG7460695,H42902184,Clinic Site 187,CLINIC,False
SITE00188,RR5412813,H62960278,Ltc Site 188,LTC,False
SITE00189,PA5845490,H88845328,Mail Site 189,MAIL,False
SITE00190,GA4262460,H77008284,Specialty Site 190,SPECIALTY,False
SITE00191,MA8869487,H51599427,Covered Entity 340B Site 191,COVERED_ENTITY_340B,True
SITE00192,MM3271008,H31813066,Retail Chain Site 192,RETAIL_CHAIN,False
SITE00193,MA0019672,H91900072,Independent Site 193,INDEPENDENT,False
SITE00194,PA6334379,H84547544,Hospital Site 194,HOSPITAL,False
SITE00195,RF5243708,H95561726,Clinic Site 195,CLINIC,False
SITE00196,AR8563158,H27773348,Ltc Site 196,LTC,False
SITE00197,PA5744866,H42596719,Mail Site 197,MAIL,False
SITE00198,BA5875568,H81537594,Specialty Site 198,SPECIALTY,False
SITE00199,AR0040167,H27627581,Covered Entity 340B Site 199,COVERED_ENTITY_340B,True
SITE00200,BA3644499,H11284865,Retail Chain Site 200,RETAIL_CHAIN,False
SITE00201,GG9564557,H65098129,Independent Site 201,INDEPENDENT,False
SITE00202,BP9123842,H35318427,Hospital Site 202,HOSPITAL,False
SITE00203,MP3988931,H47732480,Clinic Site 203,CLINIC,False
SITE00204,GR7839246,H22105924,Ltc Site 204,LTC,False
SITE00205,BB3633560,H89656433,Mail Site 205,MAIL,False
SITE00206,PG1846357,H82696112,Specialty Site 206,SPECIALTY,False
SITE00207,FA5802285,H56270186,Covered Entity 340B Site 207,COVERED_ENTITY_340B,True
SITE00208,BB4872929,H35273805,Retail Chain Site 208,RETAIL_CHAIN,False
SITE00209,RR4826322,H43231931,Independent Site 209,INDEPENDENT,False
SITE00210,PP8339522,H80070194,Hospital Site 210,HOSPITAL,False
SITE00211,RM6336026,H60752794,Clinic Site 211,CLINIC,False
SITE00212,RA2459650,H01632684,Ltc Site 212,LTC,False
SITE00213,PR8883748,H89541655,Mail Site 213,MAIL,False
SITE00214,RM2571759,H29456591,Specialty Site 214,SPECIALTY,False
SITE00215,GM2410885,H00172288,Covered Entity 340B Site 215,COVERED_ENTITY_340B,True
SITE00216,GB7643342,H22092119,Retail Chain Site 216,RETAIL_CHAIN,False
SITE00217,PP5232626,H69394668,Independent Site 217,INDEPENDENT,False
SITE00218,AR6048294,H23569195,Hospital Site 218,HOSPITAL,False
SITE00219,AA8115165,H64764021,Clinic Site 219,CLINIC,False
SITE00220,AB4676692,H79581852,Ltc Site 220,LTC,False
SITE00221,BM8867461,H55057352,Mail Site 221,MAIL,False
SITE00222,FM7454220,H47690774,Specialty Site 222,SPECIALTY,False
SITE00223,AR8537675,H20254529,Covered Entity 340B Site 223,COVERED_ENTITY_340B,True
SITE00224,BG6740048,H08603295,Retail Chain Site 224,RETAIL_CHAIN,False
SITE00225,AF8211815,H96420191,Independent Site 225,INDEPENDENT,False
SITE00226,GB9205908,H89425186,Hospital Site 226,HOSPITAL,False
SITE00227,FA4815141,H78772513,Clinic Site 227,CLINIC,False
SITE00228,PB5048823,H53134595,Ltc Site 228,LTC,False
SITE00229,FB9023525,H78010965,Mail Site 229,MAIL,False
SITE00230,BG3264470,H30918136,Specialty Site 230,SPECIALTY,False
SITE00231,RP2143969,H77100529,Covered Entity 340B Site 231,COVERED_ENTITY_340B,True
SITE00232,AA6929330,H44611401,Retail Chain Site 232,RETAIL_CHAIN,False
SITE00233,AM2906164,H96305405,Independent Site 233,INDEPENDENT,False
SITE00234,AR4989547,H08302206,Hospital Site 234,HOSPITAL,False
SITE00235,BF9842355,H10471412,Clinic Site 235,CLINIC,False
SITE00236,FG2562849,H03782914,Ltc Site 236,LTC,False
SITE00237,MM6469351,H37625810,Mail Site 237,MAIL,False
SITE00238,RG5761697,H45262323,Specialty Site 238,SPECIALTY,False
SITE00239,GG6838123,H91348497,Covered Entity 340B Site 239,COVERED_ENTITY_340B,True
SITE00240,MB7689817,H34664910,Retail Chain Site 240,RETAIL_CHAIN,False
SITE00241,RG1332271,H34589250,Independent Site 241,INDEPENDENT,False
SITE00242,PG1122325,H16365942,Hospital Site 242,HOSPITAL,False
SITE00243,AR7075945,H33688765,Clinic Site 243,CLINIC,False
SITE00244,FG4795758,H43496105,Ltc Site 244,LTC,False
SITE00245,MA4151530,H15087717,Mail Site 245,MAIL,False
SITE00246,GF2000674,H04924534,Specialty Site 246,SPECIALTY,False
SITE00247,AM4226562,H58331602,Covered Entity 340B Site 247,COVERED_ENTITY_340B,True
SITE00248,RB7392277,H15365996,Retail Chain Site 248,RETAIL_CHAIN,False
SITE00249,GG9986191,H10942047,Independent Site 249,INDEPENDENT,False
SITE00250,AR6181620,H88106079,Hospital Site 250,HOSPITAL,False
SITE00251,PM2304215,H50106301,Clinic Site 251,CLINIC,False
SITE00252,GB8258768,H19542796,Ltc Site 252,LTC,False
SITE00253,GF8845666,H79814455,Mail Site 253,MAIL,False
SITE00254,MP2321114,H50860805,Specialty Site 254,SPECIALTY,False
SITE00255,GB5896753,H44857075,Covered Entity 340B Site 255,COVERED_ENTITY_340B,True
SITE00256,RA5498825,H79093167,Retail Chain Site 256,RETAIL_CHAIN,False
SITE00257,MR9610201,H07558442,Independent Site 257,INDEPENDENT,False
SITE00258,MB9337021,H35137906,Hospital Site 258,HOSPITAL,False
SITE00259,AG6498708,H73589506,Clinic Site 259,CLINIC,False
SITE00260,PF8299169,H30840860,Ltc Site 260,LTC,False
SITE00261,AA1650257,H39974875,Mail Site 261,MAIL,False
SITE00262,AG8268953,H64677275,Specialty Site 262,SPECIALTY,False
SITE00263,GP5417402,H81450195,Covered Entity 340B Site 263,COVERED_ENTITY_340B,True
SITE00264,AR5732224,H18595351,Retail Chain Site 264,RETAIL_CHAIN,False
SITE00265,GB6035461,H47318767,Independent Site 265,INDEPENDENT,False
SITE00266,GR4338714,H36077216,Hospital Site 266,HOSPITAL,False
SITE00267,MG2361562,H23523515,Clinic Site 267,CLINIC,False
SITE00268,PP1375058,H83232334,Ltc Site 268,LTC,False
SITE00269,RG6344257,H01859668,Mail Site 269,MAIL,False
SITE00270,FA7874643,H32961815,Specialty Site 270,SPECIALTY,False
SITE00271,RB0600941,H63582684,Covered Entity 340B Site 271,COVERED_ENTITY_340B,True
SITE00272,FR6237117,H27595882,Retail Chain Site 272,RETAIL_CHAIN,False
SITE00273,AG2807406,H47674014,Independent Site 273,INDEPENDENT,False
SITE00274,MP5889151,H23648267,Hospital Site 274,HOSPITAL,False
SITE00275,PF7050796,H82956763,Clinic Site 275,CLINIC,False
SITE00276,MF8711390,H10496413,Ltc Site 276,LTC,False
SITE00277,BB0462046,H32178757,Mail Site 277,MAIL,False
SITE00278,BR8015697,H20659553,Specialty Site 278,SPECIALTY,False
SITE00279,BF8908450,H66679879,Covered Entity 340B Site 279,COVERED_ENTITY_340B,True
SITE00280,MB8828497,H02421984,Retail Chain Site 280,RETAIL_CHAIN,False
SITE00281,RM9363673,H98827119,Independent Site 281,INDEPENDENT,False
SITE00282,GF5145546,H52269769,Hospital Site 282,HOSPITAL,False
SITE00283,GB1232146,H35276908,Clinic Site 283,CLINIC,False
SITE00284,AA0440325,H96912738,Ltc Site 284,LTC,False
SITE00285,MF7848119,H54126894,Mail Site 285,MAIL,False
SITE00286,RF3862614,H39082066,Specialty Site 286,SPECIALTY,False
SITE00287,PR9037377,H93302244,Covered Entity 340B Site 287,COVERED_ENTITY_340B,True
SITE00288,PP4336441,H42587499,Retail Chain Site 288,RETAIL_CHAIN,False
SITE00289,PA5441034,H74226494,Independent Site 289,INDEPENDENT,False
SITE00290,BF4157296,H70737822,Hospital Site 290,HOSPITAL,False
SITE00291,FM2893776,H10312652,Clinic Site 291,CLINIC,False
SITE00292,AG4563891,H91250314,Ltc Site 292,LTC,False
SITE00293,AR9358549,H85146256,Mail Site 293,MAIL,False
SITE00294,FM0049070,H44407276,Specialty Site 294,SPECIALTY,False
SITE00295,RR8137731,H16448072,Covered Entity 340B Site 295,COVERED_ENTITY_340B,True
SITE00296,GM8575412,H40344897,Retail Chain Site 296,RETAIL_CHAIN,False
SITE00297,GB6853964,H00227595,Independent Site 297,INDEPENDENT,False
SITE00298,RF2481948,H77915020,Hospital Site 298,HOSPITAL,False
SITE00299,FA8181084,H46264230,Clinic Site 299,CLINIC,False
SITE00300,AB3708318,H01954666,Ltc Site 300,LTC,False
SITE00301,RP8691523,H22496345,Mail Site 301,MAIL,False
SITE00302,PB5633835,H19576337,Specialty Site 302,SPECIALTY,False
SITE00303,MR3292445,H26624029,Covered Entity 340B Site 303,COVERED_ENTITY_340B,True
SITE00304,RB8817953,H85126427,Retail Chain Site 304,RETAIL_CHAIN,False
SITE00305,AP3716591,H49361725,Independent Site 305,INDEPENDENT,False
SITE00306,PF2578667,H22466173,Hospital Site 306,HOSPITAL,False
SITE00307,AB5699558,H05478666,Clinic Site 307,CLINIC,False
SITE00308,BR2485203,H67217104,Ltc Site 308,LTC,False
SITE00309,FM0665680,H13689544,Mail Site 309,MAIL,False
SITE00310,RP2637123,H13665129,Specialty Site 310,SPECIALTY,False
SITE00311,FM5329194,H93563256,Covered Entity 340B Site 311,COVERED_ENTITY_340B,True
SITE00312,PM6878422,H65029771,Retail Chain Site 312,RETAIL_CHAIN,False
SITE00313,GM9385846,H36367443,Independent Site 313,INDEPENDENT,False
SITE00314,PG3621387,H15897122,Hospital Site 314,HOSPITAL,False
SITE00315,MB8891698,H28445715,Clinic Site 315,CLINIC,False
SITE00316,GA5171934,H12925960,Ltc Site 316,LTC,False
SITE00317,BG9559623,H44113978,Mail Site 317,MAIL,False
SITE00318,AF5794798,H28407834,Specialty Site 318,SPECIALTY,False
SITE00319,MP9825826,H08678248,Covered Entity 340B Site 319,COVERED_ENTITY_340B,True
SITE00320,FM7739010,H91687904,Retail Chain Site 320,RETAIL_CHAIN,False
SITE00321,PG5064127,H95912916,Independent Site 321,INDEPENDENT,False
SITE00322,AP2387605,H53792338,Hospital Site 322,HOSPITAL,False
SITE00323,MB0946210,H30435534,Clinic Site 323,CLINIC,False
SITE00324,FM6375327,H21836786,Ltc Site 324,LTC,False
SITE00325,BM0059546,H53502630,Mail Site 325,MAIL,False
SITE00326,MP6267116,H18196423,Specialty Site 326,SPECIALTY,False
SITE00327,BF4316090,H39107084,Covered Entity 340B Site 327,COVERED_ENTITY_340B,True
SITE00328,GB3603201,H41358041,Retail Chain Site 328,RETAIL_CHAIN,False
