call_id,call_date,rep_id,account_hcp_id,product_id,detail_position,duration_minutes
CALLHCP0009405,2024-03-01,REP0028,HCP000940,PRD001,1,13
CALLHCP0001240,2024-01-06,REP0006,HCP000124,PRD001,1,25
CALLHCP0005230,2024-02-16,REP0011,HCP000523,PRD001,1,32
CALLHCP0005231,2024-02-07,REP0036,HCP000523,PRD001,1,8
CALLHCP0005232,2024-01-03,REP0039,HCP000523,PRD001,1,18
CALLHCP0005233,2024-02-15,REP0017,HCP000523,PRD001,1,6
CALLHCP0005234,2024-02-07,REP0007,HCP000523,PRD001,1,7
CALLHCP0005235,2024-01-12,REP0019,HCP000523,PRD001,1,27
CALLHCP0003520,2024-01-25,REP0018,HCP000352,PRD001,1,38
CALLHCP0003521,2024-01-27,REP0011,HCP000352,PRD001,1,27
CALLHCP0003522,2024-01-11,REP0020,HCP000352,PRD001,1,11
CALLHCP0018030,2024-02-29,REP0039,HCP001803,PRD001,1,20
CALLHCP0018031,2024-03-19,REP0019,HCP001803,PRD001,1,34
CALLHCP0009670,2024-03-03,REP0036,HCP000967,PRD001,1,36
CALLHCP0009671,2024-01-23,REP0025,HCP000967,PRD001,1,31
CALLHCP0009672,2024-03-15,REP0016,HCP000967,PRD001,1,31
CALLHCP0009673,2024-03-05,REP0004,HCP000967,PRD001,1,11
CALLHCP0009570,2024-02-21,REP0018,HCP000957,PRD001,1,23
CALLHCP0009571,2024-03-16,REP0003,HCP000957,PRD001,1,5
CALLHCP0009572,2024-01-03,REP0025,HCP000957,PRD001,1,19
CALLHCP0009573,2024-03-14,REP0018,HCP000957,PRD001,1,11
CALLHCP0009980,2024-01-08,REP0026,HCP000998,PRD001,1,21
CALLHCP0009981,2024-01-21,REP0026,HCP000998,PRD001,1,18
CALLHCP0009982,2024-02-07,REP0009,HCP000998,PRD001,1,10
CALLHCP0009983,2024-03-10,REP0010,HCP000998,PRD001,1,30
CALLHCP0009984,2024-01-12,REP0036,HCP000998,PRD001,1,11
CALLHCP0006010,2024-02-03,REP0035,HCP000601,PRD001,1,24
CALLHCP0006011,2024-01-08,REP0021,HCP000601,PRD001,1,7
CALLHCP0006012,2024-01-28,REP0039,HCP000601,PRD001,1,10
CALLHCP0006013,2024-02-24,REP0015,HCP000601,PRD001,1,22
CALLHCP0006014,2024-02-16,REP0023,HCP000601,PRD001,1,35
CALLHCP0006015,2024-03-24,REP0003,HCP000601,PRD001,1,29
CALLHCP0006016,2024-03-12,REP0029,HCP000601,PRD001,1,7
CALLHCP0004820,2024-01-15,REP0014,HCP000482,PRD001,1,29
CALLHCP0004821,2024-01-02,REP0036,HCP000482,PRD001,1,8
CALLHCP0004822,2024-01-22,REP0025,HCP000482,PRD001,1,20
CALLHCP0004823,2024-01-20,REP0023,HCP000482,PRD001,1,21
CALLHCP0004824,2024-01-07,REP0032,HCP000482,PRD001,1,39
CALLHCP0004825,2024-02-27,REP0000,HCP000482,PRD001,1,24
CALLHCP0004826,2024-01-05,REP0036,HCP000482,PRD001,1,10
CALLHCP0002780,2024-01-07,REP0013,HCP000278,PRD001,1,15
CALLHCP0002781,2024-01-10,REP0000,HCP000278,PRD001,1,26
CALLHCP0002782,2024-01-07,REP0033,HCP000278,PRD001,1,25
CALLHCP0012390,2024-01-21,REP0007,HCP001239,PRD001,1,21
CALLHCP0012391,2024-03-02,REP0012,HCP001239,PRD001,1,38
CALLHCP0001720,2024-03-11,REP0004,HCP000172,PRD001,1,28
CALLHCP0002400,2024-02-10,REP0019,HCP000240,PRD001,1,28
CALLHCP0002401,2024-01-22,REP0003,HCP000240,PRD001,1,22
CALLHCP0002402,2024-03-09,REP0020,HCP000240,PRD001,1,28
CALLHCP0002403,2024-01-30,REP0009,HCP000240,PRD001,1,28
CALLHCP0002404,2024-01-28,REP0019,HCP000240,PRD001,1,10
CALLHCP0002405,2024-03-16,REP0015,HCP000240,PRD001,1,7
CALLHCP0005920,2024-02-01,REP0038,HCP000592,PRD001,1,32
CALLHCP0005921,2024-01-31,REP0014,HCP000592,PRD001,1,37
CALLHCP0005922,2024-01-26,REP0024,HCP000592,PRD001,1,33
CALLHCP0009440,2024-02-29,REP0039,HCP000944,PRD001,1,33
CALLHCP0009441,2024-02-20,REP0022,HCP000944,PRD001,1,29
CALLHCP0009442,2024-02-19,REP0021,HCP000944,PRD001,1,35
CALLHCP0009443,2024-02-26,REP0018,HCP000944,PRD001,1,28
CALLHCP0009444,2024-02-15,REP0023,HCP000944,PRD001,1,18
CALLHCP0009690,2024-02-07,REP0022,HCP000969,PRD001,1,39
CALLHCP0009691,2024-01-31,REP0005,HCP000969,PRD001,1,38
CALLHCP0009692,2024-03-01,REP0035,HCP000969,PRD001,1,5
CALLHCP0009693,2024-01-13,REP0004,HCP000969,PRD001,1,27
CALLHCP0014030,2024-01-28,REP0027,HCP001403,PRD001,1,13
CALLHCP0014031,2024-01-07,REP0004,HCP001403,PRD001,1,10
CALLHCP0014032,2024-02-14,REP0002,HCP001403,PRD001,1,39
CALLHCP0016750,2024-01-31,REP0021,HCP001675,PRD001,1,7
CALLHCP0016751,2024-03-20,REP0028,HCP001675,PRD001,1,21
CALLHCP0016752,2024-02-23,REP0009,HCP001675,PRD001,1,31
CALLHCP0016753,2024-02-21,REP0006,HCP001675,PRD001,1,19
CALLHCP0016754,2024-03-17,REP0002,HCP001675,PRD001,1,25
CALLHCP0017160,2024-03-23,REP0019,HCP001716,PRD001,1,25
CALLHCP0017161,2024-01-26,REP0010,HCP001716,PRD001,1,17
CALLHCP0017162,2024-01-11,REP0006,HCP001716,PRD001,1,36
CALLHCP0008140,2024-03-06,REP0035,HCP000814,PRD001,1,16
CALLHCP0008141,2024-02-03,REP0032,HCP000814,PRD001,1,7
CALLHCP0008142,2024-03-21,REP0010,HCP000814,PRD001,1,30
CALLHCP0008143,2024-01-02,REP0032,HCP000814,PRD001,1,37
CALLHCP0008144,2024-02-03,REP0015,HCP000814,PRD001,1,27
CALLHCP0008145,2024-03-15,REP0035,HCP000814,PRD001,1,17
CALLHCP0008146,2024-02-15,REP0015,HCP000814,PRD001,1,22
CALLHCP0019200,2024-03-24,REP0034,HCP001920,PRD001,1,33
CALLHCP0019201,2024-03-06,REP0033,HCP001920,PRD001,1,8
CALLHCP0019202,2024-02-07,REP0015,HCP001920,PRD001,1,24
CALLHCP0005850,2024-03-20,REP0005,HCP000585,PRD001,1,6
CALLHCP0005851,2024-01-26,REP0017,HCP000585,PRD001,1,7
CALLHCP0005852,2024-03-04,REP0001,HCP000585,PRD001,1,35
CALLHCP0005853,2024-01-22,REP0014,HCP000585,PRD001,1,35
CALLHCP0005820,2024-02-03,REP0034,HCP000582,PRD001,1,20
CALLHCP0005821,2024-02-10,REP0034,HCP000582,PRD001,1,21
CALLHCP0005822,2024-01-19,REP0000,HCP000582,PRD001,1,16
CALLHCP0005823,2024-01-16,REP0029,HCP000582,PRD001,1,10
CALLHCP0005824,2024-01-19,REP0038,HCP000582,PRD001,1,24
CALLHCP0005825,2024-01-09,REP0028,HCP000582,PRD001,1,19
CALLHCP0005826,2024-03-07,REP0015,HCP000582,PRD001,1,28
CALLHCP0008810,2024-03-08,REP0030,HCP000881,PRD001,1,17
CALLHCP0008811,2024-01-24,REP0005,HCP000881,PRD001,1,31
CALLHCP0008812,2024-03-18,REP0035,HCP000881,PRD001,1,26
CALLHCP0008813,2024-02-12,REP0027,HCP000881,PRD001,1,25
CALLHCP0008814,2024-02-07,REP0014,HCP000881,PRD001,1,34
CALLHCP0008815,2024-02-26,REP0035,HCP000881,PRD001,1,7
CALLHCP0000130,2024-03-08,REP0013,HCP000013,PRD001,1,35
CALLHCP0007380,2024-03-06,REP0024,HCP000738,PRD001,1,11
CALLHCP0007381,2024-01-16,REP0023,HCP000738,PRD001,1,28
CALLHCP0007382,2024-01-12,REP0019,HCP000738,PRD001,1,12
CALLHCP0007383,2024-01-15,REP0031,HCP000738,PRD001,1,12
CALLHCP0007384,2024-02-07,REP0037,HCP000738,PRD001,1,9
CALLHCP0004580,2024-02-06,REP0025,HCP000458,PRD001,1,10
CALLHCP0004581,2024-01-06,REP0014,HCP000458,PRD001,1,28
CALLHCP0004582,2024-01-13,REP0003,HCP000458,PRD001,1,29
CALLHCP0004583,2024-03-24,REP0020,HCP000458,PRD001,1,30
CALLHCP0008890,2024-02-19,REP0011,HCP000889,PRD001,1,22
CALLHCP0006450,2024-03-03,REP0028,HCP000645,PRD001,1,7
CALLHCP0006451,2024-01-13,REP0029,HCP000645,PRD001,1,28
CALLHCP0006452,2024-03-23,REP0033,HCP000645,PRD001,1,22
CALLHCP0006453,2024-02-03,REP0029,HCP000645,PRD001,1,29
CALLHCP0006454,2024-02-29,REP0036,HCP000645,PRD001,1,26
CALLHCP0006455,2024-03-22,REP0029,HCP000645,PRD001,1,19
CALLHCP0015220,2024-01-25,REP0000,HCP001522,PRD001,1,11
CALLHCP0015221,2024-01-07,REP0020,HCP001522,PRD001,1,22
CALLHCP0015222,2024-02-19,REP0009,HCP001522,PRD001,1,22
CALLHCP0015223,2024-02-29,REP0005,HCP001522,PRD001,1,5
CALLHCP0015224,2024-03-22,REP0007,HCP001522,PRD001,1,22
CALLHCP0015225,2024-02-15,REP0012,HCP001522,PRD001,1,39
CALLHCP0015226,2024-03-09,REP0037,HCP001522,PRD001,1,10
CALLHCP0007190,2024-01-03,REP0038,HCP000719,PRD001,1,35
CALLHCP0007191,2024-02-20,REP0031,HCP000719,PRD001,1,21
CALLHCP0007192,2024-03-06,REP0018,HCP000719,PRD001,1,13
CALLHCP0011460,2024-03-20,REP0002,HCP001146,PRD001,1,20
CALLHCP0011461,2024-02-21,REP0028,HCP001146,PRD001,1,7
CALLHCP0011462,2024-02-09,REP0018,HCP001146,PRD001,1,32
CALLHCP0008930,2024-03-18,REP0007,HCP000893,PRD001,1,8
CALLHCP0008931,2024-02-21,REP0010,HCP000893,PRD001,1,25
CALLHCP0008932,2024-02-08,REP0029,HCP000893,PRD001,1,36
CALLHCP0008933,2024-02-05,REP0014,HCP000893,PRD001,1,30
CALLHCP0008934,2024-03-20,REP0001,HCP000893,PRD001,1,11
CALLHCP0008935,2024-02-23,REP0015,HCP000893,PRD001,1,17
CALLHCP0008936,2024-03-08,REP0022,HCP000893,PRD001,1,24
CALLHCP0002060,2024-01-27,REP0012,HCP000206,PRD001,1,7
CALLHCP0002061,2024-01-28,REP0038,HCP000206,PRD001,1,12
CALLHCP0002062,2024-02-21,REP0000,HCP000206,PRD001,1,36
CALLHCP0002063,2024-01-15,REP0024,HCP000206,PRD001,1,8
CALLHCP0002064,2024-03-09,REP0038,HCP000206,PRD001,1,25
CALLHCP0002065,2024-01-11,REP0017,HCP000206,PRD001,1,31
CALLHCP0002066,2024-03-10,REP0005,HCP000206,PRD001,1,16
CALLHCP0012520,2024-02-07,REP0038,HCP001252,PRD001,1,17
CALLHCP0012521,2024-03-14,REP0006,HCP001252,PRD001,1,36
CALLHCP0012522,2024-01-18,REP0020,HCP001252,PRD001,1,17
CALLHCP0012523,2024-03-04,REP0019,HCP001252,PRD001,1,18
CALLHCP0012524,2024-02-08,REP0010,HCP001252,PRD001,1,27
CALLHCP0012525,2024-02-04,REP0018,HCP001252,PRD001,1,34
CALLHCP0012526,2024-01-16,REP0001,HCP001252,PRD001,1,6
CALLHCP0008970,2024-03-10,REP0016,HCP000897,PRD001,1,25
CALLHCP0008971,2024-02-03,REP0033,HCP000897,PRD001,1,8
CALLHCP0016200,2024-02-01,REP0018,HCP001620,PRD001,1,14
CALLHCP0016201,2024-01-19,REP0023,HCP001620,PRD001,1,10
CALLHCP0016202,2024-03-23,REP0006,HCP001620,PRD001,1,27
CALLHCP0001020,2024-02-03,REP0015,HCP000102,PRD001,1,10
CALLHCP0001021,2024-02-06,REP0015,HCP000102,PRD001,1,38
CALLHCP0001022,2024-01-21,REP0030,HCP000102,PRD001,1,13
CALLHCP0001023,2024-01-01,REP0004,HCP000102,PRD001,1,27
CALLHCP0015540,2024-02-14,REP0027,HCP001554,PRD001,1,10
CALLHCP0015541,2024-03-23,REP0038,HCP001554,PRD001,1,18
CALLHCP0015542,2024-02-16,REP0002,HCP001554,PRD001,1,13
CALLHCP0015543,2024-02-11,REP0005,HCP001554,PRD001,1,14
CALLHCPFF000000,2024-01-14,REP0019,HCPFF00000,PRD001,1,38
CALLHCP0016870,2024-03-05,REP0006,HCP001687,PRD001,1,10
CALLHCP0016871,2024-02-26,REP0009,HCP001687,PRD001,1,34
CALLHCP0016872,2024-03-18,REP0039,HCP001687,PRD001,1,30
CALLHCP0016873,2024-02-28,REP0010,HCP001687,PRD001,1,5
CALLHCP0016874,2024-01-07,REP0002,HCP001687,PRD001,1,13
CALLHCP0016875,2024-02-16,REP0011,HCP001687,PRD001,1,23
CALLHCP0009750,2024-02-29,REP0010,HCP000975,PRD001,1,14
CALLHCP0009751,2024-01-11,REP0000,HCP000975,PRD001,1,38
CALLHCP0009752,2024-02-18,REP0034,HCP000975,PRD001,1,20
CALLHCP0015330,2024-03-04,REP0014,HCP001533,PRD001,1,31
CALLHCP0010880,2024-03-01,REP0000,HCP001088,PRD001,1,21
CALLHCP0010881,2024-02-25,REP0026,HCP001088,PRD001,1,23
CALLHCP0010882,2024-03-05,REP0014,HCP001088,PRD001,1,29
CALLHCP0010883,2024-01-22,REP0029,HCP001088,PRD001,1,28
CALLHCP0010884,2024-03-14,REP0031,HCP001088,PRD001,1,5
CALLHCP0010885,2024-01-02,REP0006,HCP001088,PRD001,1,27
CALLHCP0010886,2024-01-10,REP0033,HCP001088,PRD001,1,5
CALLHCP0014220,2024-01-23,REP0013,HCP001422,PRD001,1,9
CALLHCP0017990,2024-01-21,REP0019,HCP001799,PRD001,1,25
CALLHCP0017991,2024-02-11,REP0004,HCP001799,PRD001,1,20
CALLHCP0017992,2024-01-18,REP0033,HCP001799,PRD001,1,24
CALLHCP0017993,2024-03-24,REP0036,HCP001799,PRD001,1,29
CALLHCP0017994,2024-01-07,REP0036,HCP001799,PRD001,1,30
CALLHCP0017995,2024-01-06,REP0003,HCP001799,PRD001,1,5
CALLHCP0000500,2024-03-02,REP0013,HCP000050,PRD001,1,27
CALLHCP0000501,2024-01-02,REP0001,HCP000050,PRD001,1,7
CALLHCP0000502,2024-01-23,REP0017,HCP000050,PRD001,1,38
CALLHCP0000503,2024-02-07,REP0022,HCP000050,PRD001,1,12
CALLHCP0000504,2024-02-14,REP0037,HCP000050,PRD001,1,14
CALLHCP0000505,2024-01-03,REP0031,HCP000050,PRD001,1,23
CALLHCP0001480,2024-03-07,REP0017,HCP000148,PRD001,1,10
CALLHCP0009890,2024-01-24,REP0030,HCP000989,PRD001,1,5
CALLHCP0012600,2024-03-14,REP0020,HCP001260,PRD001,1,33
CALLHCP0012601,2024-02-06,REP0022,HCP001260,PRD001,1,5
CALLHCP0012602,2024-03-22,REP0033,HCP001260,PRD001,1,18
CALLHCP0012603,2024-01-05,REP0028,HCP001260,PRD001,1,19
CALLHCP0012604,2024-01-04,REP0011,HCP001260,PRD001,1,39
CALLHCP0004860,2024-02-21,REP0009,HCP000486,PRD001,1,10
CALLHCP0004861,2024-03-10,REP0023,HCP000486,PRD001,1,35
CALLHCP0001940,2024-03-03,REP0005,HCP000194,PRD001,1,8
CALLHCP0001941,2024-02-25,REP0004,HCP000194,PRD001,1,15
CALLHCP0001942,2024-03-24,REP0013,HCP000194,PRD001,1,5
CALLHCP0003470,2024-03-10,REP0000,HCP000347,PRD001,1,20
CALLHCP0003471,2024-02-22,REP0005,HCP000347,PRD001,1,16
CALLHCP0003472,2024-02-26,REP0010,HCP000347,PRD001,1,29
CALLHCP0009220,2024-03-07,REP0022,HCP000922,PRD001,1,16
CALLHCP0017620,2024-01-07,REP0010,HCP001762,PRD001,1,23
CALLHCP0017621,2024-01-07,REP0037,HCP001762,PRD001,1,36
CALLHCP0017622,2024-02-10,REP0007,HCP001762,PRD001,1,6
CALLHCP0017623,2024-01-20,REP0006,HCP001762,PRD001,1,22
CALLHCP0017624,2024-03-19,REP0021,HCP001762,PRD001,1,20
CALLHCP0008240,2024-01-26,REP0021,HCP000824,PRD001,1,6
CALLHCP0008241,2024-01-05,REP0034,HCP000824,PRD001,1,20
CALLHCP0019220,2024-02-28,REP0010,HCP001922,PRD001,1,29
CALLHCP0019221,2024-02-11,REP0002,HCP001922,PRD001,1,13
CALLHCP0019222,2024-03-16,REP0030,HCP001922,PRD001,1,35
CALLHCP0019223,2024-02-19,REP0039,HCP001922,PRD001,1,37
CALLHCP0019224,2024-03-20,REP0015,HCP001922,PRD001,1,16
CALLHCP0018970,2024-03-17,REP0003,HCP001897,PRD001,1,26
CALLHCP0018971,2024-03-22,REP0034,HCP001897,PRD001,1,15
CALLHCP0018972,2024-03-14,REP0030,HCP001897,PRD001,1,36
CALLHCP0018973,2024-01-31,REP0016,HCP001897,PRD001,1,5
CALLHCP0018974,2024-02-22,REP0011,HCP001897,PRD001,1,17
CALLHCP0018975,2024-02-16,REP0016,HCP001897,PRD001,1,30
CALLHCP0012350,2024-03-01,REP0037,HCP001235,PRD001,1,29
CALLHCP0012351,2024-02-18,REP0039,HCP001235,PRD001,1,8
CALLHCP0008580,2024-01-27,REP0009,HCP000858,PRD001,1,14
CALLHCP0008581,2024-03-21,REP0028,HCP000858,PRD001,1,8
CALLHCP0008582,2024-03-18,REP0023,HCP000858,PRD001,1,16
CALLHCP0008583,2024-03-08,REP0025,HCP000858,PRD001,1,20
CALLHCP0013220,2024-03-20,REP0016,HCP001322,PRD001,1,28
CALLHCP0013221,2024-02-13,REP0032,HCP001322,PRD001,1,7
CALLHCP0013222,2024-02-11,REP0038,HCP001322,PRD001,1,19
CALLHCP0013223,2024-01-02,REP0033,HCP001322,PRD001,1,19
CALLHCP0008380,2024-02-18,REP0015,HCP000838,PRD001,1,37
CALLHCP0008381,2024-03-24,REP0029,HCP000838,PRD001,1,19
CALLHCP0008382,2024-03-11,REP0012,HCP000838,PRD001,1,6
CALLHCP0008383,2024-03-22,REP0023,HCP000838,PRD001,1,24
CALLHCP0008384,2024-01-26,REP0002,HCP000838,PRD001,1,7
CALLHCP0000720,2024-03-21,REP0021,HCP000072,PRD001,1,13
CALLHCP0000721,2024-02-24,REP0011,HCP000072,PRD001,1,15
CALLHCP0000722,2024-03-17,REP0032,HCP000072,PRD001,1,13
CALLHCP0000723,2024-03-15,REP0033,HCP000072,PRD001,1,25
CALLHCP0000724,2024-03-14,REP0010,HCP000072,PRD001,1,10
CALLHCP0000725,2024-02-24,REP0013,HCP000072,PRD001,1,21
CALLHCP0000726,2024-02-19,REP0006,HCP000072,PRD001,1,6
CALLHCP0004570,2024-02-13,REP0037,HCP000457,PRD001,1,31
CALLHCP0004571,2024-02-29,REP0019,HCP000457,PRD001,1,21
CALLHCP0004572,2024-02-29,REP0000,HCP000457,PRD001,1,22
CALLHCP0004573,2024-03-19,REP0027,HCP000457,PRD001,1,11
CALLHCP0010500,2024-02-05,REP0022,HCP001050,PRD001,1,9
CALLHCP0008310,2024-02-25,REP0029,HCP000831,PRD001,1,28
CALLHCP0009080,2024-03-06,REP0007,HCP000908,PRD001,1,28
CALLHCP0009081,2024-01-07,REP0011,HCP000908,PRD001,1,21
CALLHCP0009082,2024-01-09,REP0018,HCP000908,PRD001,1,26
CALLHCP0006760,2024-03-05,REP0018,HCP000676,PRD001,1,9
CALLHCP0006761,2024-01-23,REP0004,HCP000676,PRD001,1,33
CALLHCP0006762,2024-03-11,REP0005,HCP000676,PRD001,1,18
CALLHCP0006763,2024-01-03,REP0021,HCP000676,PRD001,1,19
CALLHCP0006764,2024-02-05,REP0038,HCP000676,PRD001,1,38
CALLHCP0006765,2024-03-20,REP0031,HCP000676,PRD001,1,19
CALLHCP0006766,2024-02-27,REP0013,HCP000676,PRD001,1,38
CALLHCP0011690,2024-01-03,REP0007,HCP001169,PRD001,1,8
CALLHCP0011691,2024-02-23,REP0038,HCP001169,PRD001,1,14
CALLHCP0011692,2024-03-16,REP0001,HCP001169,PRD001,1,27
CALLHCP0019880,2024-03-17,REP0011,HCP001988,PRD001,1,9
CALLHCP0019881,2024-03-23,REP0039,HCP001988,PRD001,1,8
CALLHCP0019882,2024-02-14,REP0023,HCP001988,PRD001,1,14
CALLHCP0019883,2024-03-09,REP0017,HCP001988,PRD001,1,26
CALLHCP0019884,2024-01-14,REP0032,HCP001988,PRD001,1,12
CALLHCP0019885,2024-01-30,REP0035,HCP001988,PRD001,1,34
CALLHCP0003860,2024-01-31,REP0007,HCP000386,PRD001,1,11
CALLHCP0003861,2024-01-18,REP0034,HCP000386,PRD001,1,25
CALLHCP0003862,2024-01-30,REP0030,HCP000386,PRD001,1,33
CALLHCP0003863,2024-01-05,REP0036,HCP000386,PRD001,1,25
CALLHCP0003864,2024-02-24,REP0016,HCP000386,PRD001,1,37
CALLHCP0003865,2024-01-21,REP0020,HCP000386,PRD001,1,38
CALLHCP0003260,2024-02-25,REP0034,HCP000326,PRD001,1,32
CALLHCP0003261,2024-02-02,REP0018,HCP000326,PRD001,1,15
CALLHCP0003262,2024-02-16,REP0000,HCP000326,PRD001,1,18
CALLHCP0003263,2024-02-14,REP0033,HCP000326,PRD001,1,15
CALLHCP0003264,2024-03-14,REP0000,HCP000326,PRD001,1,21
CALLHCP0003265,2024-03-16,REP0004,HCP000326,PRD001,1,8
CALLHCP0015840,2024-01-16,REP0002,HCP001584,PRD001,1,31
CALLHCP0015841,2024-02-21,REP0002,HCP001584,PRD001,1,38
CALLHCP0015842,2024-01-14,REP0006,HCP001584,PRD001,1,20
CALLHCP0015843,2024-01-02,REP0001,HCP001584,PRD001,1,21
CALLHCP0015844,2024-01-19,REP0007,HCP001584,PRD001,1,17
CALLHCP0015845,2024-02-18,REP0001,HCP001584,PRD001,1,38
CALLHCP0015846,2024-02-11,REP0021,HCP001584,PRD001,1,5
CALLHCP0010110,2024-01-27,REP0026,HCP001011,PRD001,1,35
CALLHCP0011950,2024-03-23,REP0019,HCP001195,PRD001,1,22
CALLHCP0001930,2024-01-27,REP0000,HCP000193,PRD001,1,22
CALLHCP0001931,2024-02-18,REP0001,HCP000193,PRD001,1,12
CALLHCP0001932,2024-03-15,REP0039,HCP000193,PRD001,1,15
CALLHCP0001933,2024-01-01,REP0039,HCP000193,PRD001,1,24
CALLHCP0001934,2024-01-26,REP0035,HCP000193,PRD001,1,17
CALLHCP0001935,2024-03-11,REP0017,HCP000193,PRD001,1,7
CALLHCP0005980,2024-01-06,REP0021,HCP000598,PRD001,1,34
CALLHCP0005981,2024-03-23,REP0039,HCP000598,PRD001,1,33
CALLHCP0005982,2024-02-21,REP0034,HCP000598,PRD001,1,35
CALLHCP0005983,2024-03-20,REP0012,HCP000598,PRD001,1,30
CALLHCP0017240,2024-03-11,REP0017,HCP001724,PRD001,1,25
CALLHCP0017241,2024-02-19,REP0023,HCP001724,PRD001,1,37
CALLHCP0017242,2024-03-01,REP0020,HCP001724,PRD001,1,9
CALLHCP0008550,2024-02-03,REP0009,HCP000855,PRD001,1,36
CALLHCP0008551,2024-03-06,REP0024,HCP000855,PRD001,1,5
CALLHCP0008552,2024-02-23,REP0031,HCP000855,PRD001,1,29
CALLHCP0008553,2024-02-22,REP0013,HCP000855,PRD001,1,11
CALLHCP0018980,2024-01-03,REP0034,HCP001898,PRD001,1,17
CALLHCP0018981,2024-03-07,REP0015,HCP001898,PRD001,1,14
CALLHCP0018982,2024-02-07,REP0019,HCP001898,PRD001,1,26
CALLHCP0005260,2024-02-14,REP0028,HCP000526,PRD001,1,32
CALLHCP0005261,2024-02-16,REP0001,HCP000526,PRD001,1,21
CALLHCP0005262,2024-01-26,REP0025,HCP000526,PRD001,1,21
CALLHCP0001700,2024-01-20,REP0026,HCP000170,PRD001,1,36
CALLHCP0001701,2024-01-21,REP0031,HCP000170,PRD001,1,19
CALLHCP0001702,2024-01-07,REP0031,HCP000170,PRD001,1,38
CALLHCP0001703,2024-01-18,REP0033,HCP000170,PRD001,1,12
CALLHCP0001704,2024-03-17,REP0009,HCP000170,PRD001,1,35
CALLHCP0001705,2024-03-12,REP0006,HCP000170,PRD001,1,27
CALLHCP0001706,2024-01-04,REP0013,HCP000170,PRD001,1,29
CALLHCP0014300,2024-03-17,REP0022,HCP001430,PRD001,1,6
CALLHCP0014301,2024-01-16,REP0018,HCP001430,PRD001,1,7
CALLHCP0014302,2024-02-24,REP0007,HCP001430,PRD001,1,10
CALLHCP0014303,2024-02-11,REP0020,HCP001430,PRD001,1,13
CALLHCP0018480,2024-03-07,REP0002,HCP001848,PRD001,1,33
CALLHCP0018481,2024-02-18,REP0013,HCP001848,PRD001,1,23
CALLHCP0018482,2024-03-14,REP0022,HCP001848,PRD001,1,32
CALLHCP0018483,2024-03-22,REP0036,HCP001848,PRD001,1,14
CALLHCP0018484,2024-01-10,REP0007,HCP001848,PRD001,1,32
CALLHCP0018485,2024-02-28,REP0034,HCP001848,PRD001,1,35
CALLHCP0018486,2024-03-24,REP0015,HCP001848,PRD001,1,31
CALLHCP0013050,2024-02-09,REP0037,HCP001305,PRD001,1,37
CALLHCP0013051,2024-01-28,REP0019,HCP001305,PRD001,1,28
CALLHCP0013052,2024-02-04,REP0020,HCP001305,PRD001,1,36
CALLHCP0013053,2024-01-06,REP0024,HCP001305,PRD001,1,39
CALLHCP0013054,2024-03-23,REP0000,HCP001305,PRD001,1,29
CALLHCP0013055,2024-03-18,REP0018,HCP001305,PRD001,1,39
