interchange_control_number,group_control_number,transaction_set_control_number,report_id,report_date,report_purpose_code,line_number,transfer_type_code,ndc11,product_id,quantity,quantity_uom,unit_price_wac,ship_date,invoice_number,shipto_dea,shipto_hin,shipto_340b_id,shipto_name,shipto_address,shipto_city,shipto_state,shipto_zip,class_of_trade,wholesaler_id,is_return,delivery_delay_days
202401050023,1,0001,RPT20240105,2024-01-05,00,2967,SR,10002001101,PRD003,45.7287,EA,767.508067242162,2024-01-05,INV4630455,MG1360280,H42145101,340BSITE00023,Covered Entity 340B Site 23,223 PRACTICE AVE,SYNTH CITY,GA,90161,COVERED_ENTITY_340B,WHL_A,False,0
202401050024,1,0001,RPT20240105,2024-01-05,00,1229,SR,10001001101,PRD002,47.8984,EA,1754.5809425009904,2024-01-05,INV8642222,FF2964288,H09607101,,Retail Chain Site 24,224 PRACTICE AVE,SYNTH CITY,NY,90168,RETAIL_CHAIN,WHL_A,False,0
202401050025,1,0001,RPT20240105,2024-01-05,00,4787,SR,10001001101,PRD002,12.2439,EA,2572.8057714800966,2024-01-05,INV1231690,PM5194024,H03490598,,Independent Site 25,225 PRACTICE AVE,SYNTH CITY,NJ,90175,INDEPENDENT,WHL_A,False,0
202401050027,1,0001,RPT20240105,2024-01-05,00,6062,SR,10005001101,PRD006,46.8136,EA,1910.6303788249868,2024-01-05,INV8123466,FR8973732,H49534263,,Clinic Site 27,227 PRACTICE AVE,SYNTH CITY,PA,90189,CLINIC,WHL_A,False,0
202401050030,1,0001,RPT20240105,2024-01-05,00,2563,SR,10002001101,PRD003,14.5952,PK,1598.9098213012285,2024-01-05,INV3504229,GP9388938,H50261471,,Specialty Site 30,230 PRACTICE AVE,SYNTH CITY,MI,90210,SPECIALTY,WHL_B,False,0
202401050032,1,0001,RPT20240105,2024-01-05,00,14,CB,10001001101,PRD002,0.0,EA,2166.471686272451,2024-01-05,INV5904554,AA8728027,H37800955,,Retail Chain Site 32,232 PRACTICE AVE,SYNTH CITY,CA,90224,RETAIL_CHAIN,WHL_A,False,0
202401050035,1,0001,RPT20240105,2024-01-05,00,3477,SR,10006001101,PRD007,14.6104,EA,681.8561786580439,2024-01-05,INV8002322,RF0397891,H20089175,,Clinic Site 35,235 PRACTICE AVE,SYNTH CITY,AZ,90245,CLINIC,WHL_A,False,0
202401050037,1,0001,RPT20240105,2024-01-05,00,4409,SR,10000001101,PRD001,1.7807,EA,2497.774599017923,2024-01-05,INV1277024,AR7353598,H29477444,,Mail Site 37,237 PRACTICE AVE,SYNTH CITY,TX,90259,MAIL,WHL_A,False,0
202401050038,1,0001,RPT20240105,2024-01-05,00,1461,SR,10002001101,PRD003,31.0727,EA,1799.8287047226972,2024-01-05,INV7307482,AG7741986,H00318229,,Specialty Site 38,238 PRACTICE AVE,SYNTH CITY,FL,90266,SPECIALTY,WHL_A,False,0
202401050040,1,0001,RPT20240105,2024-01-05,00,7966,SR,10001001101,PRD002,10.942,PK,2749.231719721642,2024-01-05,INV5016663,RA3104244,H69833715,,Retail Chain Site 40,240 PRACTICE AVE,SYNTH CITY,NY,90280,RETAIL_CHAIN,WHL_B,False,0
202401050041,1,0001,RPT20240105,2024-01-05,00,1123,SR,10005001101,PRD006,38.6401,EA,1634.919750400791,2024-01-05,INV5633590,GP2779179,H71815455,,Independent Site 41,241 PRACTICE AVE,SYNTH CITY,NJ,90287,INDEPENDENT,WHL_A,False,0
202401050042,1,0001,RPT20240105,2024-01-05,00,1055,SR,10004001101,PRD005,26.6277,EA,2744.0677753270816,2024-01-05,INV2115750,RF9075227,H66059044,,Hospital Site 42,242 PRACTICE AVE,SYNTH CITY,MA,90294,HOSPITAL,WHL_A,False,0
202401050043,1,0001,RPT20240105,2024-01-05,00,6464,SR,10003001101,PRD004,23.8707,EA,1782.4602252918964,2024-01-05,INV8308520,PP9446187,H63346769,,Clinic Site 43,243 PRACTICE AVE,SYNTH CITY,PA,90301,CLINIC,WHL_A,False,0
202401050044,1,0001,RPT20240105,2024-01-05,00,6558,SR,10000001101,PRD001,72.5628,EA,2728.6466695304002,2024-01-05,INV5711111,AP4452573,H13136172,,Ltc Site 44,244 PRACTICE AVE,SYNTH CITY,IL,90308,LTC,WHL_A,False,0
202401050045,1,0001,RPT20240105,2024-01-05,00,2739,SR,10003001101,PRD004,6.8314,EA,1456.1325808655256,2024-01-05,INV2362045,BB3235187,H71781737,,Mail Site 45,245 PRACTICE AVE,SYNTH CITY,OH,90315,MAIL,WHL_A,False,0
202401050046,1,0001,RPT20240105,2024-01-05,00,2498,SR,10001001101,PRD002,91.05,EA,2851.4073102890115,2024-01-05,INV1761296,MG8710442,H75718244,,Specialty Site 46,246 PRACTICE AVE,SYNTH CITY,MI,90322,SPECIALTY,WHL_A,False,0
202401050047,1,0001,RPT20240105,2024-01-05,00,7163,SR,10002001101,PRD003,6.7583,EA,748.6576433957372,2024-01-05,INV5511023,FF7297131,H23104738,340BSITE00047,Covered Entity 340B Site 47,247 PRACTICE AVE,SYNTH CITY,MN,90329,COVERED_ENTITY_340B,WHL_A,False,0
202401050052,1,0001,RPT20240105,2024-01-05,00,9341,SR,10001001101,PRD002,44.0911,EA,2104.3661964579137,2024-01-05,INV5064733,BP7675378,H82605539,,Ltc Site 52,252 PRACTICE AVE,SYNTH CITY,CO,90364,LTC,WHL_A,False,0
202401050053,1,0001,RPT20240105,2024-01-05,00,8967,SR,10001001101,PRD002,110.4421,EA,954.5389362082211,2024-01-05,INV5657425,AA3371321,H11544478,,Mail Site 53,253 PRACTICE AVE,SYNTH CITY,TX,90371,MAIL,WHL_A,False,0
202401050054,1,0001,RPT20240105,2024-01-05,00,3216,SR,10004001101,PRD005,9.37,EA,1206.4392756958246,2024-01-05,INV2033359,FB9029707,H90441211,,Specialty Site 54,254 PRACTICE AVE,SYNTH CITY,FL,90378,SPECIALTY,WHL_A,False,0
202401050055,1,0001,RPT20240105,2024-01-05,00,3075,SR,10000001101,PRD001,18.8353,EA,2813.1987554699285,2024-01-05,INV3063218,PM2621221,H09549248,340BSITE00055,Covered Entity 340B Site 55,255 PRACTICE AVE,SYNTH CITY,GA,90385,COVERED_ENTITY_340B,WHL_A,False,0
202401050056,1,0001,RPT20240105,2024-01-05,00,126,SR,10005001101,PRD006,26.2875,EA,826.002099249838,2024-01-05,INV6669007,PB2396828,H02508853,,Retail Chain Site 56,256 PRACTICE AVE,SYNTH CITY,NY,90392,RETAIL_CHAIN,WHL_A,False,0
202401050057,1,0001,RPT20240105,2024-01-05,00,1959,SR,10005001101,PRD006,21.2091,EA,651.7227768561261,2024-01-05,INV8838972,RA7940815,H97081762,,Independent Site 57,257 PRACTICE AVE,SYNTH CITY,NJ,90399,INDEPENDENT,WHL_A,False,0
202401050059,1,0001,RPT20240105,2024-01-05,00,7603,SR,10006001101,PRD007,60.0216,EA,2768.4313417937306,2024-01-05,INV8069683,FF3664092,H05468025,,Clinic Site 59,259 PRACTICE AVE,SYNTH CITY,PA,90413,CLINIC,WHL_A,False,0
202401190000,1,0001,RPT20240119,2024-01-19,00,1585,SR,10000001101,PRD001,35.3136,PK,666.2868244164733,2024-01-19,INV4447701,PF8417070,H26941287,,Retail Chain Site 0,200 PRACTICE AVE,SYNTH CITY,CA,90000,RETAIL_CHAIN,WHL_B,False,0
202401190002,1,0001,RPT20240119,2024-01-19,00,8614,SR,10003001101,PRD004,20.6831,EA,2199.5489008822324,2024-01-19,INV4527181,GB4453584,H31311904,,Hospital Site 2,202 PRACTICE AVE,SYNTH CITY,WA,90014,HOSPITAL,WHL_A,False,0
202401190004,1,0001,RPT20240119,2024-01-19,00,4385,SR,10003001101,PRD004,5.3851,EA,785.0569445806922,2024-01-19,INV7160587,GP1896350,H93076607,,Ltc Site 4,204 PRACTICE AVE,SYNTH CITY,CO,90028,LTC,WHL_A,False,0
202401190008,1,0001,RPT20240119,2024-01-19,00,3554,SR,10000001101,PRD001,14.9268,EA,1732.8053334260699,2024-01-19,INV5942850,MF3644421,H80361676,,Retail Chain Site 8,208 PRACTICE AVE,SYNTH CITY,NY,90056,RETAIL_CHAIN,WHL_A,False,0
202401190009,1,0001,RPT20240119,2024-01-19,00,6593,SR,10005001101,PRD006,8.4274,EA,2683.441685423839,2024-01-19,INV8529038,RP2961182,H71222699,,Independent Site 9,209 PRACTICE AVE,SYNTH CITY,NJ,90063,INDEPENDENT,WHL_A,False,0
202401190010,1,0001,RPT20240119,2024-01-19,00,2279,SR,10000001101,PRD001,42.4822,PK,718.3481275658935,2024-01-19,INV4256951,PB3603795,H34650547,,Hospital Site 10,210 PRACTICE AVE,SYNTH CITY,MA,90070,HOSPITAL,WHL_B,False,0
202401190012,1,0001,RPT20240119,2024-01-19,00,4627,SR,10000001101,PRD001,19.3745,EA,1821.7285896358633,2024-01-19,INV1905838,AG6462666,H23245342,,Ltc Site 12,212 PRACTICE AVE,SYNTH CITY,IL,90084,LTC,WHL_A,False,0
202401190013,1,0001,RPT20240119,2024-01-19,00,1523,SR,10003001101,PRD004,10.207,EA,1125.5709819632248,2024-01-19,INV1436840,AF4718216,H76113492,,Mail Site 13,213 PRACTICE AVE,SYNTH CITY,OH,90091,MAIL,WHL_A,False,0
202401190014,1,0001,RPT20240119,2024-01-19,00,3788,SR,10001001101,PRD002,21.9384,EA,2187.7714779385788,2024-01-19,INV6896761,FR6091572,H24826417,,Specialty Site 14,214 PRACTICE AVE,SYNTH CITY,MI,90098,SPECIALTY,WHL_A,False,0
202401190018,1,0001,RPT20240119,2024-01-19,00,2163,SR,10002001101,PRD003,27.0557,EA,1651.818788288574,2024-01-19,INV5108579,PG5480043,H57523725,,Hospital Site 18,218 PRACTICE AVE,SYNTH CITY,WA,90126,HOSPITAL,WHL_A,False,0
202401190019,1,0001,RPT20240119,2024-01-19,00,2739,SR,10005001101,PRD006,9.8376,EA,1044.4534105749976,2024-01-19,INV3243223,BM7917031,H11080369,,Clinic Site 19,219 PRACTICE AVE,SYNTH CITY,AZ,90133,CLINIC,WHL_A,False,0
202401190020,1,0001,RPT20240119,2024-01-19,00,3348,SR,10002001101,PRD003,22.3541,PK,1007.7411739701965,2024-01-19,INV6996738,RR9984162,H46922705,,Ltc Site 20,220 PRACTICE AVE,SYNTH CITY,CO,90140,LTC,WHL_B,False,0
202401190021,1,0001,RPT20240119,2024-01-19,00,1821,SR,10005001101,PRD006,14.3912,EA,2725.1690615105404,2024-01-19,INV4663967,AR6346224,H27183513,,Mail Site 21,221 PRACTICE AVE,SYNTH CITY,TX,90147,MAIL,WHL_A,False,0
202401190022,1,0001,RPT20240119,2024-01-19,00,8161,SR,10004001101,PRD005,8.8364,EA,665.8859755855493,2024-01-19,INV5065839,MP0300258,H76718804,,Specialty Site 22,222 PRACTICE AVE,SYNTH CITY,FL,90154,SPECIALTY,WHL_A,False,0
202401190023,1,0001,RPT20240119,2024-01-19,00,2183,SR,10004001101,PRD005,8.1008,EA,2271.5608135425446,2024-01-19,INV7129899,MG1360280,H42145101,340BSITE00023,Covered Entity 340B Site 23,223 PRACTICE AVE,SYNTH CITY,GA,90161,COVERED_ENTITY_340B,WHL_A,False,0
202401190027,1,0001,RPT20240119,2024-01-19,00,7406,SR,10003001101,PRD004,15.7134,EA,639.1263400781622,2024-01-19,INV6521107,FR8973732,H49534263,,Clinic Site 27,227 PRACTICE AVE,SYNTH CITY,PA,90189,CLINIC,WHL_A,False,0
202401190028,1,0001,RPT20240119,2024-01-19,00,3164,SR,10004001101,PRD005,21.7962,EA,2866.109253682172,2024-01-19,INV8791622,FB5793827,H57752589,,Ltc Site 28,228 PRACTICE AVE,SYNTH CITY,IL,90196,LTC,WHL_A,False,0
202401190035,1,0001,RPT20240119,2024-01-19,00,9763,SR,10001001101,PRD002,33.5933,EA,826.7449542174495,2024-01-19,INV7073441,RF0397891,H20089175,,Clinic Site 35,235 PRACTICE AVE,SYNTH CITY,AZ,90245,CLINIC,WHL_A,False,0
202401190037,1,0001,RPT20240119,2024-01-19,00,7414,SR,10003001101,PRD004,15.9904,EA,2387.6137317112243,2024-01-19,INV4246887,AR7353598,H29477444,,Mail Site 37,237 PRACTICE AVE,SYNTH CITY,TX,90259,MAIL,WHL_A,False,0
202401190038,1,0001,RPT20240119,2024-01-19,00,7959,SR,10006001101,PRD007,13.6993,EA,1315.8181812358316,2024-01-19,INV3352901,AG7741986,H00318229,,Specialty Site 38,238 PRACTICE AVE,SYNTH CITY,FL,90266,SPECIALTY,WHL_A,False,0
202401190039,1,0001,RPT20240119,2024-01-19,00,7201,SR,10000001101,PRD001,11.7148,EA,1993.9434522165445,2024-01-19,INV8825137,BG0319011,H15392566,340BSITE00039,Covered Entity 340B Site 39,239 PRACTICE AVE,SYNTH CITY,GA,90273,COVERED_ENTITY_340B,WHL_A,False,0
202401190040,1,0001,RPT20240119,2024-01-19,00,769,SR,10003001101,PRD004,102.3134,PK,2635.233457079716,2024-01-19,INV7514435,RA3104244,H69833715,,Retail Chain Site 40,240 PRACTICE AVE,SYNTH CITY,NY,90280,RETAIL_CHAIN,WHL_B,False,0
202401190041,1,0001,RPT20240119,2024-01-19,00,3081,SR,10002001101,PRD003,9.0213,EA,549.6140577348564,2024-01-19,INV6752386,GP2779179,H71815455,,Independent Site 41,241 PRACTICE AVE,SYNTH CITY,NJ,90287,INDEPENDENT,WHL_A,False,0
202401190042,1,0001,RPT20240119,2024-01-19,00,4967,SR,10001001101,PRD002,7.4793,EA,1196.8027026585555,2024-01-19,INV6539280,RF9075227,H66059044,,Hospital Site 42,242 PRACTICE AVE,SYNTH CITY,MA,90294,HOSPITAL,WHL_A,False,0
202401190043,1,0001,RPT20240119,2024-01-19,00,2842,SR,10000001101,PRD001,14.0392,EA,546.5934608516627,2024-01-19,INV4090106,PP9446187,H63346769,,Clinic Site 43,243 PRACTICE AVE,SYNTH CITY,PA,90301,CLINIC,WHL_A,False,0
202401190044,1,0001,RPT20240119,2024-01-19,00,5706,SR,10002001101,PRD003,40.919,EA,1094.8389399081912,2024-01-19,INV8491748,AP4452573,H13136172,,Ltc Site 44,244 PRACTICE AVE,SYNTH CITY,IL,90308,LTC,WHL_A,False,0
202401190045,1,0001,RPT20240119,2024-01-19,00,9389,SR,10005001101,PRD006,5.2926,EA,2582.4550768493036,2024-01-19,INV7919982,BB3235187,H71781737,,Mail Site 45,245 PRACTICE AVE,SYNTH CITY,OH,90315,MAIL,WHL_A,False,0
202401190047,1,0001,RPT20240119,2024-01-19,00,2584,SR,10004001101,PRD005,131.863,EA,2917.8830045240984,2024-01-19,INV3633362,FF7297131,H23104738,340BSITE00047,Covered Entity 340B Site 47,247 PRACTICE AVE,SYNTH CITY,MN,90329,COVERED_ENTITY_340B,WHL_A,False,0
202401190049,1,0001,RPT20240119,2024-01-19,00,9208,SR,10000001101,PRD001,6.7074,EA,1043.9106820236225,2024-01-19,INV1022065,GG7568917,H21708796,,Independent Site 49,249 PRACTICE AVE,SYNTH CITY,OR,90343,INDEPENDENT,WHL_A,False,0
202401190050,1,0001,RPT20240119,2024-01-19,00,203,SR,10000001101,PRD001,5.3697,PK,585.3292403229069,2024-01-19,INV4278980,MM9439562,H21217069,,Hospital Site 50,250 PRACTICE AVE,SYNTH CITY,WA,90350,HOSPITAL,WHL_B,False,0
202401190053,1,0001,RPT20240119,2024-01-19,00,2627,SR,10004001101,PRD005,8.9319,EA,2713.443211275482,2024-01-19,INV5047015,AA3371321,H11544478,,Mail Site 53,253 PRACTICE AVE,SYNTH CITY,TX,90371,MAIL,WHL_A,False,0
202401190054,1,0001,RPT20240119,2024-01-19,00,7367,SR,10000001101,PRD001,24.5348,EA,1021.4112211843267,2024-01-19,INV6498214,FB9029707,H90441211,,Specialty Site 54,254 PRACTICE AVE,SYNTH CITY,FL,90378,SPECIALTY,WHL_A,False,0
202401190055,1,0001,RPT20240119,2024-01-19,00,6297,SR,10000001101,PRD001,4.7615,EA,2668.5194862731914,2024-01-19,INV8192325,PM2621221,H09549248,340BSITE00055,Covered Entity 340B Site 55,255 PRACTICE AVE,SYNTH CITY,GA,90385,COVERED_ENTITY_340B,WHL_A,False,0
202401190056,1,0001,RPT20240119,2024-01-19,00,4844,SR,10002001101,PRD003,25.0773,EA,2786.132602654953,2024-01-19,INV4639737,PB2396828,H02508853,,Retail Chain Site 56,256 PRACTICE AVE,SYNTH CITY,NY,90392,RETAIL_CHAIN,WHL_A,False,0
202401190057,1,0001,RPT20240119,2024-01-19,00,9785,SR,10000001101,PRD001,21.6896,EA,969.0885220828134,2024-01-19,INV3956553,RA7940815,H97081762,,Independent Site 57,257 PRACTICE AVE,SYNTH CITY,NJ,90399,INDEPENDENT,WHL_A,False,0
202401190058,1,0001,RPT20240119,2024-01-19,00,5797,SR,10004001101,PRD005,14.7127,EA,1667.8281982718095,2024-01-19,INV4009614,RF8799727,H72625713,,Hospital Site 58,258 PRACTICE AVE,SYNTH CITY,MA,90406,HOSPITAL,WHL_A,False,0
202402020000,1,0001,RPT20240202,2024-02-02,00,8743,SR,10004001101,PRD005,60.0476,PK,1005.2957377711789,2024-02-02,INV5087050,PF8417070,H26941287,,Retail Chain Site 0,200 PRACTICE AVE,SYNTH CITY,CA,90000,RETAIL_CHAIN,WHL_B,False,0
202402020002,1,0001,RPT20240202,2024-02-02,00,7879,SR,10001001101,PRD002,25.7764,EA,2154.019213192041,2024-02-02,INV2312827,GB4453584,H31311904,,Hospital Site 2,202 PRACTICE AVE,SYNTH CITY,WA,90014,HOSPITAL,WHL_A,False,0
202402020004,1,0001,RPT20240202,2024-02-02,00,1921,SR,10006001101,PRD007,35.2331,EA,1972.3269625295457,2024-02-02,INV2089083,GP1896350,H93076607,,Ltc Site 4,204 PRACTICE AVE,SYNTH CITY,CO,90028,LTC,WHL_A,False,0
202402020008,1,0001,RPT20240202,2024-02-02,00,4522,CB,10001001101,PRD002,0.0,EA,2811.116522755909,2024-02-02,INV1741073,MF3644421,H80361676,,Retail Chain Site 8,208 PRACTICE AVE,SYNTH CITY,NY,90056,RETAIL_CHAIN,WHL_A,False,0
202402020010,1,0001,RPT20240202,2024-02-02,00,2597,RE,10001001101,PRD002,-13.0648,PK,2020.7066508192204,2024-02-02,INV3583158,PB3603795,H34650547,,Hospital Site 10,210 PRACTICE AVE,SYNTH CITY,MA,90070,HOSPITAL,WHL_B,True,0
202402020013,1,0001,RPT20240202,2024-02-02,00,3833,SR,10003001101,PRD004,18.0652,EA,2390.9814448061215,2024-02-02,INV4331269,AF4718216,H76113492,,Mail Site 13,213 PRACTICE AVE,SYNTH CITY,OH,90091,MAIL,WHL_A,False,0
202402020014,1,0001,RPT20240202,2024-02-02,00,4301,CB,10005001101,PRD006,0.0,EA,836.7377775788996,2024-02-02,INV2639571,FR6091572,H24826417,,Specialty Site 14,214 PRACTICE AVE,SYNTH CITY,MI,90098,SPECIALTY,WHL_A,False,0
202402020015,1,0001,RPT20240202,2024-02-02,00,469,SR,10005001101,PRD006,19.1491,EA,2879.470093681974,2024-02-02,INV8389685,FM7609090,H51067193,340BSITE00015,Covered Entity 340B Site 15,215 PRACTICE AVE,SYNTH CITY,MN,90105,COVERED_ENTITY_340B,WHL_A,False,0
202402020016,1,0001,RPT20240202,2024-02-02,00,1018,SR,10005001101,PRD006,7.8345,EA,1372.3588729144076,2024-02-02,INV3717876,PF3768989,H43327781,,Retail Chain Site 16,216 PRACTICE AVE,SYNTH CITY,CA,90112,RETAIL_CHAIN,WHL_A,False,0
202402020019,1,0001,RPT20240202,2024-02-02,00,4945,CB,10006001101,PRD007,0.0,EA,1013.0590381305536,2024-02-02,INV2114067,BM7917031,H11080369,,Clinic Site 19,219 PRACTICE AVE,SYNTH CITY,AZ,90133,CLINIC,WHL_A,False,0
202402020020,1,0001,RPT20240202,2024-02-02,00,9738,SR,10005001101,PRD006,11.5244,PK,2823.9648556313573,2024-02-02,INV2800289,RR9984162,H46922705,,Ltc Site 20,220 PRACTICE AVE,SYNTH CITY,CO,90140,LTC,WHL_B,False,0
202402020022,1,0001,RPT20240202,2024-02-02,00,6850,SR,10001001101,PRD002,6.1662,EA,1689.6364061131053,2024-02-02,INV1482961,MP0300258,H76718804,,Specialty Site 22,222 PRACTICE AVE,SYNTH CITY,FL,90154,SPECIALTY,WHL_A,False,0
202402020023,1,0001,RPT20240202,2024-02-02,00,911,SR,10004001101,PRD005,6.4156,EA,581.4861600213108,2024-02-02,INV7840423,MG1360280,H42145101,340BSITE00023,Covered Entity 340B Site 23,223 PRACTICE AVE,SYNTH CITY,GA,90161,COVERED_ENTITY_340B,WHL_A,False,0
202402020025,1,0001,RPT20240202,2024-02-02,00,8348,SR,10001001101,PRD002,36.7013,EA,2557.5529153335347,2024-02-02,INV3956627,PM5194024,H03490598,,Independent Site 25,225 PRACTICE AVE,SYNTH CITY,NJ,90175,INDEPENDENT,WHL_A,False,0
202402020026,1,0001,RPT20240202,2024-02-02,00,3297,SR,10000001101,PRD001,46.6767,EA,2623.3845989423016,2024-02-02,INV8496684,RF8375416,H32191780,,Hospital Site 26,226 PRACTICE AVE,SYNTH CITY,MA,90182,HOSPITAL,WHL_A,False,0
202402020028,1,0001,RPT20240202,2024-02-02,00,9065,SR,10005001101,PRD006,95.6042,EA,2898.700323176708,2024-02-02,INV3545070,FB5793827,H57752589,,Ltc Site 28,228 PRACTICE AVE,SYNTH CITY,IL,90196,LTC,WHL_A,False,0
202402020032,1,0001,RPT20240202,2024-02-02,00,2969,SR,10002001101,PRD003,19.7945,EA,1056.1190990242703,2024-02-02,INV3325601,AA8728027,H37800955,,Retail Chain Site 32,232 PRACTICE AVE,SYNTH CITY,CA,90224,RETAIL_CHAIN,WHL_A,False,0
202402020036,1,0001,RPT20240202,2024-02-02,00,9318,SR,10005001101,PRD006,21.1758,EA,743.9449345597893,2024-02-02,INV2067127,AB9237152,H19106817,,Ltc Site 36,236 PRACTICE AVE,SYNTH CITY,CO,90252,LTC,WHL_A,False,0
202402020037,1,0001,RPT20240202,2024-02-02,00,2547,SR,10002001101,PRD003,14.4829,EA,1850.5399186221507,2024-02-02,INV8460733,AR7353598,H29477444,,Mail Site 37,237 PRACTICE AVE,SYNTH CITY,TX,90259,MAIL,WHL_A,False,0
202402020038,1,0001,RPT20240202,2024-02-02,00,8396,SR,10006001101,PRD007,46.616,EA,1463.8797514062512,2024-02-02,INV8263322,AG7741986,H00318229,,Specialty Site 38,238 PRACTICE AVE,SYNTH CITY,FL,90266,SPECIALTY,WHL_A,False,0
202402020039,1,0001,RPT20240202,2024-02-02,00,6838,SR,10004001101,PRD005,64.779,EA,1176.4486628332002,2024-02-02,INV8739741,BG0319011,H15392566,340BSITE00039,Covered Entity 340B Site 39,239 PRACTICE AVE,SYNTH CITY,GA,90273,COVERED_ENTITY_340B,WHL_A,False,0
202402020043,1,0001,RPT20240202,2024-02-02,00,5079,SR,10003001101,PRD004,62.9638,EA,2886.4149097682475,2024-02-02,INV4228089,PP9446187,H63346769,,Clinic Site 43,243 PRACTICE AVE,SYNTH CITY,PA,90301,CLINIC,WHL_A,False,0
202402020045,1,0001,RPT20240202,2024-02-02,00,5302,SR,10003001101,PRD004,12.1623,EA,770.2137784581057,2024-02-02,INV2811670,BB3235187,H71781737,,Mail Site 45,245 PRACTICE AVE,SYNTH CITY,OH,90315,MAIL,WHL_A,False,0
202402020047,1,0001,RPT20240202,2024-02-02,00,5191,SR,10005001101,PRD006,10.9686,EA,2330.090840424362,2024-02-02,INV8883802,FF7297131,H23104738,340BSITE00047,Covered Entity 340B Site 47,247 PRACTICE AVE,SYNTH CITY,MN,90329,COVERED_ENTITY_340B,WHL_A,False,0
202402020048,1,0001,RPT20240202,2024-02-02,00,6634,RE,10003001101,PRD004,-18.0761,EA,2289.687233950341,2024-02-02,INV8406666,MM0869464,H88957347,,Retail Chain Site 48,248 PRACTICE AVE,SYNTH CITY,CA,90336,RETAIL_CHAIN,WHL_A,True,0
202402020049,1,0001,RPT20240202,2024-02-02,00,5396,SR,10004001101,PRD005,51.1964,EA,1146.5244243812317,2024-02-02,INV6008111,GG7568917,H21708796,,Independent Site 49,249 PRACTICE AVE,SYNTH CITY,OR,90343,INDEPENDENT,WHL_A,False,0
