zip5,county_id,state,region,division,population_weight,city
90868,CTY0025,IL,Midwest,East North Central,6871.318209448772,SYNTH CITY 24
90875,CTY0026,OH,Midwest,East North Central,4259.346650821427,SYNTH CITY 25
90882,CTY0026,MI,Midwest,East North Central,12878.350068995787,SYNTH CITY 26
90889,CTY0026,MN,Midwest,West North Central,907.9932509299598,SYNTH CITY 27
90896,CTY0026,CA,West,Pacific,1572.227161389813,SYNTH CITY 28
90903,CTY0026,OR,West,Pacific,1180.182136594245,SYNTH CITY 29
90910,CTY0027,WA,West,Pacific,2018.6620043495386,SYNTH CITY 30
90917,CTY0027,AZ,West,Mountain,752.434426862247,SYNTH CITY 31
90924,CTY0027,CO,West,Mountain,5625.9828844096855,SYNTH CITY 32
90931,CTY0027,TX,South,West South Central,2386.963423234681,SYNTH CITY 33
90938,CTY0027,FL,South,South Atlantic,684.845801414283,SYNTH CITY 34
90945,CTY0028,GA,South,South Atlantic,1079.681013684938,SYNTH CITY 35
90952,CTY0028,NY,Northeast,Middle Atlantic,4078.619480223004,SYNTH CITY 36
90959,CTY0028,NJ,Northeast,Middle Atlantic,6892.068715281852,SYNTH CITY 37
90966,CTY0028,MA,Northeast,New England,21954.57646350529,SYNTH CITY 38
90973,CTY0028,PA,Northeast,Middle Atlantic,54932.61141618204,SYNTH CITY 39
90980,CTY0029,IL,Midwest,East North Central,4511.610360947468,SYNTH CITY 40
90987,CTY0029,OH,Midwest,East North Central,1108.1662264960125,SYNTH CITY 41
90994,CTY0029,MI,Midwest,East North Central,353.5248285668781,SYNTH CITY 42
91001,CTY0029,MN,Midwest,West North Central,3896.022587442652,SYNTH CITY 43
91008,CTY0029,CA,West,Pacific,1322.2087394934804,SYNTH CITY 44
91015,CTY0030,OR,West,Pacific,1967.7435119409793,SYNTH CITY 45
91022,CTY0030,WA,West,Pacific,1616.313472764286,SYNTH CITY 46
91029,CTY0030,AZ,West,Mountain,2589.4715874359567,SYNTH CITY 47
91036,CTY0030,CO,West,Mountain,8655.759623632825,SYNTH CITY 48
91043,CTY0030,TX,South,West South Central,3487.8771632316852,SYNTH CITY 49
91050,CTY0031,FL,South,South Atlantic,2543.674995509277,SYNTH CITY 0
91057,CTY0031,GA,South,South Atlantic,1058.2228750435797,SYNTH CITY 1
91064,CTY0031,NY,Northeast,Middle Atlantic,558.5348720338349,SYNTH CITY 2
91071,CTY0031,NJ,Northeast,Middle Atlantic,1832.9685516481852,SYNTH CITY 3
91078,CTY0031,MA,Northeast,New England,2824.869503837334,SYNTH CITY 4
91085,CTY0032,PA,Northeast,Middle Atlantic,17464.576589592296,SYNTH CITY 5
91092,CTY0032,IL,Midwest,East North Central,3395.7316384493415,SYNTH CITY 6
91099,CTY0032,OH,Midwest,East North Central,7964.420875382218,SYNTH CITY 7
91106,CTY0032,MI,Midwest,East North Central,1809.3164508379452,SYNTH CITY 8
91113,CTY0032,MN,Midwest,West North Central,911.4677694415192,SYNTH CITY 9
91120,CTY0033,CA,West,Pacific,1135.562313659852,SYNTH CITY 10
91127,CTY0033,OR,West,Pacific,1443.4248480938327,SYNTH CITY 11
91134,CTY0033,WA,West,Pacific,25046.00799746925,SYNTH CITY 12
91141,CTY0033,AZ,West,Mountain,1311.0889373392065,SYNTH CITY 13
91148,CTY0033,CO,West,Mountain,6894.568479647969,SYNTH CITY 14
91155,CTY0034,TX,South,West South Central,1208.424618259478,SYNTH CITY 15
91162,CTY0034,FL,South,South Atlantic,7567.159258117842,SYNTH CITY 16
91169,CTY0034,GA,South,South Atlantic,4380.643744082966,SYNTH CITY 17
91176,CTY0034,NY,Northeast,Middle Atlantic,2548.7596354484217,SYNTH CITY 18
91183,CTY0034,NJ,Northeast,Middle Atlantic,2861.8898544668205,SYNTH CITY 19
91190,CTY0035,MA,Northeast,New England,1548.763739993663,SYNTH CITY 20
91197,CTY0035,PA,Northeast,Middle Atlantic,4656.746007159753,SYNTH CITY 21
91204,CTY0035,IL,Midwest,East North Central,1891.2939806916463,SYNTH CITY 22
91211,CTY0035,OH,Midwest,East North Central,875.1490688373135,SYNTH CITY 23
91218,CTY0035,MI,Midwest,East North Central,830.5286499429099,SYNTH CITY 24
91225,CTY0036,MN,Midwest,West North Central,3542.4998092621813,SYNTH CITY 25
91232,CTY0036,CA,West,Pacific,14459.273557936556,SYNTH CITY 26
91239,CTY0036,OR,West,Pacific,3498.1572666013,SYNTH CITY 27
91246,CTY0036,WA,West,Pacific,2647.4751041245913,SYNTH CITY 28
91253,CTY0036,AZ,West,Mountain,3967.2408799358714,SYNTH CITY 29
91260,CTY0037,CO,West,Mountain,11003.863767607902,SYNTH CITY 30
91267,CTY0037,TX,South,West South Central,3712.2093903887594,SYNTH CITY 31
91274,CTY0037,FL,South,South Atlantic,1976.4800106290338,SYNTH CITY 32
91281,CTY0037,GA,South,South Atlantic,9011.787395979714,SYNTH CITY 33
91288,CTY0037,NY,Northeast,Middle Atlantic,4576.8050139205325,SYNTH CITY 34
91295,CTY0038,NJ,Northeast,Middle Atlantic,13846.059963805394,SYNTH CITY 35
91302,CTY0038,MA,Northeast,New England,3580.4165852572387,SYNTH CITY 36
91309,CTY0038,PA,Northeast,Middle Atlantic,876.1444444600453,SYNTH CITY 37
91316,CTY0038,IL,Midwest,East North Central,758.8778285628949,SYNTH CITY 38
91323,CTY0038,OH,Midwest,East North Central,15536.19795631458,SYNTH CITY 39
91330,CTY0039,MI,Midwest,East North Central,16708.380865978317,SYNTH CITY 40
91337,CTY0039,MN,Midwest,West North Central,2491.1028093164814,SYNTH CITY 41
91344,CTY0039,CA,West,Pacific,2032.074921557757,SYNTH CITY 42
91351,CTY0039,OR,West,Pacific,12854.436610376197,SYNTH CITY 43
91358,CTY0039,WA,West,Pacific,985.3080347878108,SYNTH CITY 44
91365,CTY0040,AZ,West,Mountain,1218.3746325220718,SYNTH CITY 45
91372,CTY0040,CO,West,Mountain,5672.168611084103,SYNTH CITY 46
91379,CTY0040,TX,South,West South Central,2009.0050472682217,SYNTH CITY 47
91386,CTY0040,FL,South,South Atlantic,2965.72895137204,SYNTH CITY 48
91393,CTY0040,GA,South,South Atlantic,2531.4742043123015,SYNTH CITY 49
